# OND_WU																								
# released 2014, March 7																								
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WsGwRT	WSunkTR	WStrans
20401010101	1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-0.029994411	0	0	0	0		0
20401010101	11	0	0	0	0	0	0	0		0	-4.68E-05	0	0	0	0	0	0	-0.010853947	0	0	0	0		0
20401010101	12	0	0	0	0	0	0	0		0	-2.34E-06	0	0	0	0	0	0	-0.027079555	0	0	0	0		0
20401010101	2	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-0.008335787	0	0	0	0		0
20401010101	4	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-0.011254416	0	0	0	0		0
20401010101	8	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-0.01415114	0	0	0	0		0
20401010101	9	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-0.00116576	0	0	0	0		0
20401010102	10	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-7.79E-05	0	0	0	0		0
20401010102	13	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0
20401010102	14	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-1.06E-05	0	0	0	0		0
20401010102	3	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-3.65E-05	0	0	0	0		0
20401010102	5	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0
20401010102	6	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	-1.72E-05	0	0	0	0		0
20401010102	7	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0
20401010103	20	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0
20401010103	21	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0
20401010103	27	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0		0
