Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2088	Tmax	32	2.855148519	3.024032389	2.117568156	2.641518758	3.110312907	2.967540894	2.819557699	2.689295247	2.21638916	2.685851644	2.365775553	2.410118001
CCSM4	rcp45	2088	Tmax	33	2.36333374	2.558036296	1.832526855	2.165085449	2.440640462	2.279286499	2.113545125	2.010004883	1.700401204	2.234499919	1.987963664	2.206081746
CCSM4	rcp45	2088	Tmax	42	2.820073853	3.051993815	2.18590861	2.661884562	3.16613444	3.098265177	3.172679443	3.030881551	2.588805745	2.877880452	2.493697306	2.350547282
CCSM4	rcp45	2088	Tmax	43	2.737817179	3.026407267	2.103492228	2.611738892	3.034677124	2.948744914	2.965158081	2.784232992	2.324289347	2.719738363	2.344108073	2.336893717
CCSM4	rcp45	2088	Tmax	52	2.775111287	2.958983154	2.261087036	2.602154541	3.138522339	3.138386027	3.363836466	3.238760173	2.861490072	2.954181519	2.466102905	2.284688924
CCSM4	rcp45	2088	Tmax	53	2.693446248	2.939036865	2.153202108	2.559550985	3.059203491	3.063742269	3.288968506	3.115433757	2.711260376	2.821080322	2.37843689	2.220399577
CCSM4	rcp45	2088	Tmax	62	2.902363688	3.004407756	2.345519409	2.529251506	2.910936686	3.089596965	3.355418294	3.282762858	2.950465088	2.965378215	2.464379679	2.234356079
CCSM4	rcp45	2088	Tmax	63	2.856421712	3.0309021	2.306130778	2.488994141	2.786560262	3.054627482	3.312906698	3.174045817	2.846690674	2.853203735	2.495838826	2.175324504
