Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2088	Ppt	32	1.010858577	1.177773663	1.055490554	1.031224465	1.020628343	1.024136278	1.128254776	1.171054088	1.218394218	1.073347604	1.032435613	1.212172747
CCSM4	rcp45	2088	Ppt	33	0.999219566	1.155309212	1.071267959	1.019139537	1.008563946	1.042288253	1.148466907	1.185654074	1.23437417	1.074555599	1.010795386	1.184999036
CCSM4	rcp45	2088	Ppt	42	1.049060553	1.228140521	1.044658548	1.004488524	1.033668969	0.999886025	1.09825703	1.09105556	1.158421696	1.066096853	1.037892223	1.156938147
CCSM4	rcp45	2088	Ppt	43	1.030664769	1.191621345	1.05247661	1.001050649	1.049778123	1.020740604	1.140563556	1.148291989	1.210920225	1.082980593	1.018705818	1.15936962
CCSM4	rcp45	2088	Ppt	52	1.084835257	1.246380936	1.067401509	1.010369637	1.049070263	0.988985823	1.072859186	1.049365044	1.104536071	1.097330249	1.024660967	1.124687344
CCSM4	rcp45	2088	Ppt	53	1.076852722	1.211129328	1.057599082	1.005458705	1.058324077	0.99706423	1.092245753	1.096099099	1.139247456	1.105827903	1.034608746	1.117598676
CCSM4	rcp45	2088	Ppt	62	1.120922964	1.236010852	1.081860903	1.055382808	1.019259482	0.957852379	1.043084539	1.015116443	1.060185715	1.09530454	1.021103379	1.109642826
CCSM4	rcp45	2088	Ppt	63	1.111345717	1.220899127	1.069825684	1.040987137	1.029025721	0.97409148	1.067543808	1.045479458	1.056119057	1.105021223	1.030370671	1.108247578
