Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2088	PET	32	1.136635668	1.173254542	1.132540861	1.118633591	1.11498192	1.095666911	1.108022632	1.112271514	1.118712976	1.155467038	1.150273954	1.135726034
CCSM4	rcp45	2088	PET	33	1.018628781	1.021077314	1.07408155	1.037421698	1.041115878	1.078544791	1.056811995	1.055581639	1.032304312	1.016217756	1.051612346	1.030610762
CCSM4	rcp45	2088	PET	42	1.191785757	1.237998726	1.160314805	1.13488052	1.124763012	1.110204975	1.111627584	1.111962134	1.121326088	1.157386704	1.168095182	1.16895823
CCSM4	rcp45	2088	PET	43	1.119683389	1.181486513	1.132377394	1.117452172	1.115883079	1.100426664	1.103248672	1.105135484	1.117847447	1.146964879	1.132529577	1.113575618
CCSM4	rcp45	2088	PET	52	1.148991766	1.174934138	1.182867905	1.129596048	1.123784624	1.11445899	1.114374665	1.11399825	1.12408153	1.15203078	1.159833241	1.170718082
CCSM4	rcp45	2088	PET	53	1.117411149	1.151075013	1.15399899	1.122946821	1.11893679	1.109095618	1.110148528	1.110050547	1.116298023	1.147856558	1.147438949	1.147348211
CCSM4	rcp45	2088	PET	62	1.152219305	1.181716374	1.194923168	1.146364686	1.132737453	1.116800396	1.114889306	1.115361876	1.133928241	1.157608246	1.163529086	1.181672623
CCSM4	rcp45	2088	PET	63	1.140235587	1.170102239	1.177613801	1.129777341	1.12322412	1.114944262	1.111355903	1.108281058	1.126048413	1.160484255	1.176702423	1.165594518
