 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	11/28/2014 2:55:34 PM
StationID:	basin0
Water Year average monthly flow
Year	Month	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/day)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	10	172.506112797779	2.35973856133783	0.000291382544459738	0.0813034109837236	0	1.23577080442575	0	4.057915471241	280.75343151627	0
1982	11	111.995296964523	1.58901104986443	6.87382839299825E-05	0.00235667860163615	0	0.729204797476142	0	1.76388489742109	284.681040033712	0
1982	12	87.315032999803	1.19618890417376	0.000106056969311343	0.0408458023842209	0	0.222769405054202	226.817126779632	2.92172757327412	288.928545321437	0
1982	1	159.77894519285	2.19516821227396	0.000331540111345082	0.064566012147332	0	0.119216375618093	630.44615039756	3.95512477962431	282.014315459076	0
1982	2	295.476400832419	3.89438463243661	0.000500293697713277	0.294040034377043	0	0.277899045036996	782.100183780996	4.12424847778941	276.807241300738	0
1982	3	228.717339165315	3.2220697242997	0.000324206889270818	0.0133632187603677	0	0.70209859972016	767.952600247473	3.56671092137292	274.019042429888	0
1982	4	367.669082256935	5.08325103680294	0.000471056968083503	0.128438211318008	0	1.40207972436972	235.464356616617	4.64151420607408	268.86097402512	0
1982	5	64.5079356951897	0.911706988761634	6.83480306391326E-05	0.0132279331383114	0	2.51022446667798	0	2.32647977853998	293.59550258272	0
1982	6	176.566042012515	2.34685394157262	0.000507571431917647	0.142519358588605	0	2.76236843558536	0	6.8308568551026	281.164548631854	0
1982	7	109.583536745869	1.50256833550114	0.000107517264468804	0.0726622302367091	0	3.88447869438088	0	2.58239658557678	288.893466524696	0
1982	8	40.2694987869861	0.562816789710911	0.000115274121581519	0.0125924600768657	0	2.925859877195	0	2.87756508415566	299.20280826062	0
1982	9	73.7678801323728	0.949310550156019	0.000328124812260319	0.0865667049550757	0	2.41643241095441	0	4.68115679720498	291.973260364088	0
1983	10	57.8707929050139	0.819572275918739	4.42763498248346E-05	0.00876082930468257	0	1.61970777651916	0	1.476914188563	294.53074726626	0
1983	11	232.841150239783	2.9293920943433	0.000564922906088133	0.357483034435527	0	0.933023561618665	0	5.67037066034076	278.892697734166	0
1983	12	178.005911593397	2.41525060988184	0.000235569898448027	0.10869025056613	0	0.542284487949789	25.3296961439215	2.75050289456392	279.917997295075	0
1983	1	203.63308862779	2.70775137527814	0.000340989467665635	0.1772467194562	0	0.232698144202049	123.295754727851	4.01409771422789	279.544432392583	0
1983	2	206.315595975145	2.62458764205777	0.000287187057476055	0.301463137845779	0	0.49488902344928	417.987324987286	3.40162884666538	281.220008592021	0
1983	3	397.638592412965	5.48734065957345	0.000668433069516398	0.141619192495093	0	0.767195876945409	140.611076135264	5.71554184260358	268.185947786097	0
1983	4	530.384009534799	7.03118209210499	0.00106843800886454	0.480576859550504	0	1.33890286390156	56.0159083232932	9.17992347793594	266.649292666308	0
1983	5	198.749208818091	2.77595520058671	0.000231651954951418	0.037802693559594	0	2.23560788270764	0	5.38126065503682	276.982098052997	0
1983	6	210.409837004191	2.78010036094696	0.000389554564251702	0.212690078585511	0	3.54883590891283	0	5.16847151133377	280.927844646272	0
1983	7	52.6710248334356	0.759448893892863	4.58750715077246E-05	0.00252961148134268	0	3.94421684339835	0	1.84089657138618	295.686404716054	0
1983	8	33.3360379696381	0.456566465413904	0.000128155533126815	0.0265427056488161	0	3.64920634552474	0	3.45586622255137	302.155405007565	0
1983	9	51.7901963958323	0.374980787466088	0.000226448440341967	0.373486824664166	0	2.82351262560205	0	2.1623172346028	305.293425990235	0
1984	10	35.1064645991779	0.46995841631296	0.0001562308946005	0.0215009323363308	0	1.522299296055	0	3.01678587154475	301.58104551071	0
1984	11	252.780310517545	3.38955968606631	0.000710509329427155	0.180789698467411	0	0.819064992241537	7.17997844738139	5.91635387747953	281.309846695191	0
1984	12	443.99042628153	5.85928246905991	0.00074002338435893	0.43206487569648	0	0.275525045080458	61.7595586067449	6.80531846590073	269.206713513564	0
1984	1	119.150173848172	1.67029244708875	0.000126975450832305	0.0198893513421829	0	0.133494757623888	334.611765496948	2.43944845992833	284.87921454504	0
1984	2	339.030011281984	4.65921764227971	0.000572903765235715	0.139611083467386	0	0.621586127678182	228.542775256006	5.05841670631474	269.279459472582	0
1984	3	214.291871800039	2.9774161425484	0.000231309849722572	0.0597670390934709	0	0.458241565296775	343.155634342785	4.26209405774262	275.605688695586	0
1984	4	440.492437197639	5.93291104861118	0.000663445786318316	0.31256789073539	0	1.39756211865932	116.312831500192	5.48553378968537	268.791830364963	0
1984	5	385.37716970856	4.91379810855434	0.000943252629579333	0.541178225029455	0	2.17039948460714	0	8.94483412234671	274.239872854258	0
1984	6	123.723317836362	1.7208228386568	0.000152578826069067	0.0517915382789694	0	3.5789181743112	0	2.49594969118024	288.555078985675	0
1984	7	104.230671279711	1.34923975102564	0.000298079430346778	0.120479647937322	0	3.49489374134374	0	5.6082524293208	286.549473200464	0
1984	8	64.4994654026855	0.898696761637629	0.000127004725454707	0.0241317296782947	0	3.45095663518653	0	3.19747799901442	292.697032861552	0
1984	9	36.093838393316	0.50214052780379	6.34952828699859E-05	0.0144936326518468	0	2.34764699119391	0	1.96212210015774	301.023400039022	0
1985	10	26.4859653886492	0.342975637412438	0.000130902267779949	0.0331068551893084	0	1.70050033013577	0	2.59203142968899	306.512560221349	0
