 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	9/16/2014 9:51:37 AM
StationID:	01420500
Water Year Annual mean
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/year)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	494.12400140592	1.8542088112906	0.00319292920414115	0.0367021629828996	0	1.70658315847173	172.427625704661	3.34163310885256	580.222490369134	0
1983	548.146393478084	2.02101214141893	0.00402492514861966	0.0769655547033429	0	1.93603058005458	27.283293651612	3.69066274850124	581.990080440586	0
1984	643.833855932612	2.3797921557631	0.00474862459767711	0.080738844217958	0	1.75584161981841	41.8145224067659	4.16719686608521	576.065393382712	0
1985	336.209059781048	1.19185388601346	0.00335601945547292	0.0893369182393273	0	1.87068078510368	28.4733314933058	3.31925283453964	591.127706816212	0
1986	623.963548366689	2.3085600607442	0.00428995458889672	0.0782194850724825	0	1.81220809665106	58.4486963246152	3.90757936563713	572.722123095973	0
1987	546.010085116696	1.98882356363747	0.0045152229946525	0.095052178875166	0	1.83414604204501	99.59193715757	3.95753953005035	580.672772352535	0
1988	416.359188424277	1.55781002228174	0.00303143100767079	0.0389901182255773	0	1.90022341326815	35.6390556150237	3.08852215730499	581.235148474737	0
1989	482.104384000339	1.77065800444205	0.00400073781984802	0.0700739137219393	0	1.75617488431735	4.62140766592913	3.5996129493659	581.229589612831	0
1990	572.107148478596	2.13166223958219	0.00397187896778918	0.0554174765791328	0	1.74233033369687	71.764510857898	3.76836457962949	573.474773989855	0
1991	453.192511344919	1.66549510016588	0.00361246812731206	0.0702514691937281	0	1.93850851542622	14.7119596224809	3.29893310580848	585.680730870834	0
1992	446.304850952035	1.62771641263107	0.00332349700978322	0.0794280807121647	0	1.63623208419594	9.56719795944465	3.24293389090548	581.42694158838	0
1993	515.410269438023	1.89845773027856	0.00364931824423931	0.0731428797354663	0	1.69597216212033	136.92940275039	3.47913152909308	583.782099430099	0
1994	638.722424969711	2.37260267667882	0.00458513432650004	0.0665511027752542	0	1.71308787301474	344.811386346903	4.13843012441386	573.304207439584	0
1995	365.516271543196	1.34187929335534	0.00273977096788756	0.0588910748851991	0	1.82720254288091	17.3816786527994	2.88733671168767	589.115311435909	0
1996	886.45241070559	3.22848157093913	0.00669302551855207	0.153264752227564	0	1.62350663117109	211.789854513131	5.22856191111607	563.689962389714	0
1997	726.08283483926	2.59461130071556	0.00509533382120291	0.182960627867114	0	1.6258050684872	21.6828420211426	4.09794699020639	572.437746203053	0
1998	702.706558520381	2.62195878877982	0.0049495837444341	0.0659185547384957	0	1.81481304985387	47.6470332674185	4.15225124376226	571.097388330256	0
1999	477.251067983812	1.66941533481966	0.00446802317017207	0.155452086050736	0	1.88223210595015	5.98197958148848	3.62734920719731	584.670573222707	0
2000	688.859966426675	2.50257914228924	0.00468906589754364	0.129134244860905	0	1.69977327325062	43.078066802192	4.23079598448145	567.451051792224	0
2001	452.545873134599	1.63012670715413	0.00373326917729237	0.100009363160977	0	1.72970166782076	142.652220297247	3.32317799273578	583.817526748026	0
2002	453.224194599385	1.68034560828743	0.00341646123365642	0.05527435534931	0	1.93030948334415	4.0320604894835	3.38860466848465	583.743054942526	0
2003	823.370825213719	3.03710593949629	0.00565981284070214	0.106402886941315	0	1.62885829591954	393.468652335945	4.88962984233394	563.172105895091	0
2004	882.099742030557	3.1670314600241	0.00634480442196775	0.200948975051368	0	1.71210325457601	118.34530360175	5.04797821986099	564.639896402967	0
2005	628.179374329353	2.31161647398016	0.00461826449664767	0.0932839735008293	0	1.85291815077289	178.682280465403	3.80849966193784	577.286246330151	0
2006	910.930281783604	3.21217217223544	0.00737916951697652	0.264239666186882	0	1.75114422530288	22.0678776448331	5.32305534151059	566.96399838782	0
2007	643.218482044777	2.34193817854916	0.00468210530905297	0.11805418865515	0	1.80268229003633	110.771180278175	3.98570277647595	576.206174333881	0
2008	745.717958000089	2.71431410264586	0.00588782348187774	0.131393970644897	0	1.76719844685932	216.451393284316	4.7138731495059	570.566554843992	0
2009	775.762134053882	2.84634190941915	0.00552702191598914	0.116938284136681	0	1.6834935973754	190.075682601129	4.57304160178678	565.36541184671	0
2010	619.136935447318	2.29051829556077	0.00459141189645509	0.0754380698555284	0	1.88219144955194	192.356811659517	4.14070697008901	574.911099939788	0
2011	1044.9442077516	3.74940889043291	0.00820743895666248	0.237330120374987	0	1.75667487123384	122.731890022635	5.98752715178093	559.173066964588	0
