Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp85	2060	PET	11	1.100783204	1.113567297	1.007183417	0.984838848	1.062639236	1.114330316	1.133263764	1.151518081	1.175334062	1.148488798	1.15571718	1.118967188
GFDL-ESM2G	rcp85	2060	PET	12	1.000661622	1.059171788	0.96785799	0.923667152	0.972226375	0.944429736	1.075786638	1.041780912	1.099277389	1.042488991	1.052918798	1.047481284
GFDL-ESM2G	rcp85	2060	PET	21	1.276326463	1.307655716	1.258182681	1.075981899	1.079183087	1.149908862	1.133707742	1.164432277	1.153574129	1.195337733	1.139294702	1.300812303
GFDL-ESM2G	rcp85	2060	PET	22	1.03270428	1.102857196	1.031213693	0.962496638	0.942969875	0.933810416	1.042001957	1.050926013	1.112414694	1.064797243	1.084936038	1.049620274
GFDL-ESM2G	rcp85	2060	PET	31	1.189867477	1.512513397	1.354464031	1.133610397	1.077075333	1.151647213	1.139364731	1.162557134	1.163507774	1.176174495	1.164831476	1.280382801
GFDL-ESM2G	rcp85	2060	PET	32	1.169186384	1.292988132	1.235184507	1.097374551	1.103319278	1.169253832	1.152561726	1.141350089	1.141289593	1.140902861	1.165345539	1.133375877
GFDL-ESM2G	rcp85	2060	PET	41	1.272365299	1.214904179	0.988981831	0.951487766	1.181226426	1.277500979	1.228022998	1.189675403	1.124586961	1.099195321	0.951664548	1.063224889
GFDL-ESM2G	rcp85	2060	PET	42	1.102495499	1.611586628	1.381727438	1.138797263	1.087643448	1.197725661	1.202812808	1.185280845	1.175356492	1.194991963	1.33250769	0.944810512
