Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp85	2030	Tmax	11	1.041328125	1.297388916	1.953341064	0.619724121	0.711480713	0.811274414	0.852316895	1.497436523	2.196889648	1.330631104	0.95902832	0.787926025
GFDL-ESM2G	rcp85	2030	Tmax	12	0.681123047	1.071533203	1.569771729	0.711430664	0.648708496	0.800273437	1.034416504	1.153747559	1.644488525	1.085911865	0.915476074	0.663500977
GFDL-ESM2G	rcp85	2030	Tmax	21	1.618015137	1.446671143	2.283082275	0.526230469	0.137580566	0.883172607	0.838273926	1.619146729	2.009656982	1.258681641	0.8759021	1.173085937
GFDL-ESM2G	rcp85	2030	Tmax	22	1.126420898	1.571054688	1.975603027	0.759776611	0.414163818	0.689266357	1.030723877	1.229266357	1.721610107	1.290587158	0.845913086	0.95111084
GFDL-ESM2G	rcp85	2030	Tmax	31	2.033444824	1.57052124	2.468867188	0.585050049	-0.083240967	0.817963867	0.774926758	1.465731201	1.770351562	1.25739624	1.011121826	1.4237854
GFDL-ESM2G	rcp85	2030	Tmax	32	1.974237061	1.852128906	2.417243652	0.469749756	0.220134277	0.642808838	1.082912598	1.512894287	1.659714355	1.432145996	0.764248047	1.461401367
GFDL-ESM2G	rcp85	2030	Tmax	41	1.880900879	1.379158936	1.434545898	0.339361572	0.317895508	1.078709717	1.232901611	1.184700928	1.775721436	1.104620361	0.813439941	1.442381592
GFDL-ESM2G	rcp85	2030	Tmax	42	2.130679932	1.898846436	1.880201416	0.424978027	0.162869873	0.84145752	0.926680908	1.439744873	2.048840332	1.401873779	0.835723877	1.749000244
