Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp85	2030	Ppt	11	0.875648873	1.040548782	0.988793444	1.168749025	0.988258249	1.165740297	1.01580026	0.864374311	1.192591152	1.13068874	0.949857718	0.959048502
GFDL-ESM2G	rcp85	2030	Ppt	12	0.924012666	0.99678018	0.912989128	1.080726712	1.020938134	1.13309101	1.009112073	0.902975426	1.109516596	0.97144808	1.005506694	0.972623892
GFDL-ESM2G	rcp85	2030	Ppt	21	0.820619386	1.120655801	1.188285624	1.138905993	1.149177377	1.008580534	1.015622063	0.912167867	1.064018881	1.151780293	0.806747285	1.043309034
GFDL-ESM2G	rcp85	2030	Ppt	22	0.88214983	1.129443721	1.094518474	1.103701314	1.224962222	0.959128053	1.111247192	0.899478042	1.078935812	1.120884689	0.910327907	1.002814408
GFDL-ESM2G	rcp85	2030	Ppt	31	0.795910977	1.173746236	1.353658613	1.045099984	1.187695268	1.026324717	1.020171702	0.969082858	1.049122293	1.104630102	0.860142406	1.023976143
GFDL-ESM2G	rcp85	2030	Ppt	32	0.782380837	1.188154298	1.30169263	1.081384471	1.134350726	1.007133634	1.035798015	0.921135533	1.066021304	1.173879239	0.875489966	1.072766207
GFDL-ESM2G	rcp85	2030	Ppt	41	0.862764821	1.2705424	1.415215711	1.178333462	1.147091809	1.110428285	1.039813962	0.913530249	1.024398402	1.091160827	1.023021361	0.998197007
GFDL-ESM2G	rcp85	2030	Ppt	42	0.806075742	1.285220749	1.379655837	1.180367017	0.998903005	1.019419601	1.032002595	0.860225432	1.000160252	1.113684416	0.980710933	1.073682442
