Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp85	2030	PET	11	1.039719495	1.070487657	0.999780876	0.992498429	1.040535802	1.042356298	1.048522193	1.074673587	1.061918771	1.081483068	1.051279211	1.042365897
GFDL-ESM2G	rcp85	2030	PET	12	0.96156673	1.007375898	0.945623572	1.01476062	1.066945668	0.975030276	0.972929064	1.007709519	0.965735586	1.059876089	1.041286374	1.027329099
GFDL-ESM2G	rcp85	2030	PET	21	1.188346253	1.092228593	1.103261781	1.021933742	1.018537951	1.049219238	1.060081691	1.118692498	1.071043546	1.091347743	1.099570926	1.070971041
GFDL-ESM2G	rcp85	2030	PET	22	0.990122118	1.071671274	1.009577302	1.119105989	1.046931328	0.970113923	1.006860017	1.037311141	1.022779416	1.100735512	1.054123437	1.006005407
GFDL-ESM2G	rcp85	2030	PET	31	1.272723249	1.318551493	1.218326226	1.093282064	1.008753664	1.045967225	1.07106949	1.115070501	1.088628856	1.074248375	1.120351306	1.074337453
GFDL-ESM2G	rcp85	2030	PET	32	1.156165653	1.131676515	1.111020472	1.097062858	1.015289941	1.050843556	1.089822631	1.079666236	1.065022799	1.13687929	1.10122112	1.016696882
GFDL-ESM2G	rcp85	2030	PET	41	1.189943951	1.242823865	0.989876944	1.064435065	1.062737692	1.132916841	1.098958811	1.090696973	1.077096535	1.104904217	0.969430233	1.047797786
GFDL-ESM2G	rcp85	2030	PET	42	1.250952509	1.632187181	1.231439307	1.121020987	1.010079221	1.112515176	1.089895104	1.096168637	1.08948452	1.123313496	1.208139104	0.972804497
