Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp85	2088	Tmax	32	4.379291178	4.125194702	3.718430379	4.527286784	5.211952515	5.387281087	5.446273397	5.591578573	4.789511515	4.737873739	3.987867839	3.673911133
CCSM4	rcp85	2088	Tmax	33	3.861931152	3.655974731	3.34845988	3.837265828	4.198036906	4.078909505	4.034523315	4.158728841	3.821374105	4.09060262	3.637866618	3.540638428
CCSM4	rcp85	2088	Tmax	42	4.570870565	4.412651367	3.905017293	4.640199178	5.266690877	5.530537923	6.005782674	6.04329244	5.271734009	5.04340271	4.275881958	3.889564412
CCSM4	rcp85	2088	Tmax	43	4.573361816	4.3531014	3.854611003	4.581479899	5.218047078	5.344253743	5.685612996	5.658988037	4.945162557	4.851606445	4.212528483	3.954780477
CCSM4	rcp85	2088	Tmax	52	4.44559611	4.278175049	3.910334473	4.560295817	5.302334391	5.544895833	6.258265788	6.307890625	5.56416687	5.102334391	4.241265259	3.793656006
CCSM4	rcp85	2088	Tmax	53	4.533983154	4.336384481	3.882648112	4.531797282	5.28988973	5.492595418	6.16081665	6.184280396	5.366948446	5.017589111	4.21953654	3.848135376
CCSM4	rcp85	2088	Tmax	62	4.728118286	4.417921753	3.963881022	4.545063273	5.098452759	5.566665853	6.384564006	6.436741536	5.694603678	5.15121582	4.408174845	3.947683309
CCSM4	rcp85	2088	Tmax	63	4.735010783	4.438143717	3.983869425	4.466135864	5.002641805	5.479292196	6.291857096	6.322917074	5.539912109	5.064342855	4.39770284	3.925227051
