Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp85	2088	Ppt	32	1.192853244	1.298301631	1.128205832	1.169967119	1.005443532	1.089194317	1.307169555	1.247723682	1.236082691	1.099550181	1.01522447	1.177577916
CCSM4	rcp85	2088	Ppt	33	1.183335617	1.270416979	1.135690933	1.154630269	0.984508717	1.117370125	1.296023995	1.21827071	1.202180363	1.092567343	1.022293634	1.195467133
CCSM4	rcp85	2088	Ppt	42	1.176093047	1.339265998	1.138550391	1.123103735	0.984292268	0.994638101	1.218665996	1.140327425	1.131368393	1.129748576	1.027743809	1.157150648
CCSM4	rcp85	2088	Ppt	43	1.172191044	1.29785785	1.138140336	1.142027641	0.987341459	1.047125669	1.299490076	1.240615609	1.207662569	1.121607297	1.023534957	1.170528097
CCSM4	rcp85	2088	Ppt	52	1.184377944	1.357256972	1.178157067	1.116648378	0.971314535	0.968519513	1.18878229	1.067985614	1.066080683	1.158037568	1.048367693	1.151355254
CCSM4	rcp85	2088	Ppt	53	1.171193394	1.319874197	1.151618213	1.132560129	0.974296534	0.994774881	1.230427148	1.143272246	1.108401843	1.138254901	1.040539752	1.159555251
CCSM4	rcp85	2088	Ppt	62	1.241274563	1.370994877	1.19922908	1.160205882	0.984181605	0.956928727	1.111723097	1.020250427	1.011393903	1.12788551	1.05115448	1.168156687
CCSM4	rcp85	2088	Ppt	63	1.198741665	1.341634602	1.169529865	1.166139684	0.988573585	0.985715288	1.153988496	1.052861819	1.012114594	1.143957204	1.051500791	1.175472739
