Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2030	Tmax	32	1.308288371	1.198161418	1.431533203	1.595695801	1.4980896	1.718293457	1.679962362	1.530111491	1.2131368	1.454713338	1.349797974	1.452756958
CCSM4	rcp45	2030	Tmax	33	1.050180257	0.980127767	1.215366618	1.378150431	1.229493001	1.335279134	1.309710286	1.171928101	0.991785075	1.234482015	1.1815861	1.409003499
CCSM4	rcp45	2030	Tmax	42	1.290755208	1.199814453	1.471647135	1.602943522	1.56388855	1.767787882	1.912154338	1.758044637	1.377591756	1.545562541	1.392113037	1.327056478
CCSM4	rcp45	2030	Tmax	43	1.232768351	1.205013835	1.436819051	1.585306396	1.520639852	1.707559204	1.771868083	1.607148641	1.229502563	1.48865214	1.347502848	1.374009603
CCSM4	rcp45	2030	Tmax	52	1.305056559	1.169833374	1.4799764	1.591812948	1.565718587	1.863704224	2.086378174	1.922241821	1.522305908	1.578189697	1.330392049	1.291378784
CCSM4	rcp45	2030	Tmax	53	1.263296916	1.123364258	1.451098429	1.587509359	1.546708781	1.812043254	2.025251872	1.85589681	1.416551514	1.527689209	1.33951884	1.251490885
CCSM4	rcp45	2030	Tmax	62	1.40313151	1.206811523	1.490060221	1.572078654	1.436978963	1.824827881	2.059348755	1.977261149	1.532841797	1.540738932	1.349078776	1.281783447
CCSM4	rcp45	2030	Tmax	63	1.380164795	1.176514079	1.496623332	1.553572998	1.351080322	1.794025879	2.0625118	1.93544637	1.470121053	1.510731812	1.375717367	1.204540812
