Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2030	Ppt	32	0.996621103	1.06914215	1.033291157	1.07730807	0.982607358	1.008801936	1.082270951	1.106815764	1.112072057	1.079858804	1.119214532	1.072082615
CCSM4	rcp45	2030	Ppt	33	0.981477455	1.066088393	1.020266892	1.059518104	0.997173581	1.016973836	1.100884503	1.124051635	1.098084513	1.086726168	1.08515249	1.076019268
CCSM4	rcp45	2030	Ppt	42	0.995138841	1.064829751	1.053024908	1.033963149	0.990817342	1.005896955	1.063678095	1.043334691	1.148492169	1.055162987	1.120371883	1.036324883
CCSM4	rcp45	2030	Ppt	43	0.984885786	1.055932871	1.039350355	1.030538816	1.002841655	0.997696997	1.094694442	1.095004707	1.146096079	1.084666668	1.08163838	1.046069789
CCSM4	rcp45	2030	Ppt	52	0.993676541	1.059743226	1.088702722	1.015365182	0.969661358	0.975797065	1.041759363	1.006889633	1.141710165	1.053102048	1.080332227	1.009889866
CCSM4	rcp45	2030	Ppt	53	0.990194524	1.046207261	1.071705656	1.020758489	0.982515101	0.973541134	1.057614546	1.053721248	1.157279661	1.06005516	1.065070409	1.022172397
CCSM4	rcp45	2030	Ppt	62	1.030326339	1.050091436	1.112546509	1.045097217	0.954264467	0.947832587	0.994398696	1.00685255	1.107374388	1.058156774	1.039749174	1.026296247
CCSM4	rcp45	2030	Ppt	63	1.001885254	1.04964959	1.088688227	1.059424753	0.966840144	0.974114558	0.998994323	1.015274541	1.110425995	1.07592649	1.029379536	1.024245469
