Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2030	PET	32	1.09374936	1.09961024	1.082918494	1.067632786	1.064539764	1.062324724	1.066480007	1.074083917	1.075193679	1.089459041	1.07643532	1.085942303
CCSM4	rcp45	2030	PET	33	1.042913922	1.03580255	1.006821901	1.017159862	1.038357638	1.049030327	1.020324955	1.041060892	1.034644594	1.029198134	1.019815804	1.029646909
CCSM4	rcp45	2030	PET	42	1.132550536	1.117725634	1.090028942	1.077899982	1.069920785	1.07125099	1.073250903	1.069702868	1.074367414	1.093235815	1.086181103	1.091556036
CCSM4	rcp45	2030	PET	43	1.087853696	1.112581902	1.077377451	1.067328142	1.068808081	1.068111717	1.066158113	1.069675926	1.075324988	1.091004458	1.06605335	1.073003008
CCSM4	rcp45	2030	PET	52	1.116565557	1.079557672	1.094046392	1.076859924	1.072456537	1.081940782	1.078873924	1.07100669	1.067730691	1.092056005	1.080802452	1.096346962
CCSM4	rcp45	2030	PET	53	1.092521306	1.076472471	1.082768647	1.071641511	1.070442636	1.07623444	1.075370932	1.07373952	1.066408906	1.09212493	1.075419228	1.085094606
CCSM4	rcp45	2030	PET	62	1.131370864	1.077251123	1.08913183	1.091441383	1.077956968	1.081564906	1.079317442	1.076749585	1.072178444	1.090552133	1.084909186	1.110582767
CCSM4	rcp45	2030	PET	63	1.122681657	1.078316763	1.082491317	1.079361651	1.07071594	1.078207601	1.07858267	1.074237732	1.068884078	1.101059227	1.093292406	1.083871676
