 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	11/28/2014 2:55:34 PM
StationID:	20141128_test
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)	Water Use (cfs)	Discharge + Water Use (cfs)
01/24/1981	24.6926558565	0.352780188747	2.50293902674e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.0015626172723	433.71483551	0.0	306.038609071	0.0	20.88765625	45.5803121065
01/25/1981	24.1795941723	0.34542676305	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00673603439795	433.20483551	0.0	306.339965005	0.0	20.88765625	45.0672504223
01/26/1981	23.7796326221	0.33933219104	7.14374569727e-07	0.0	3.86221807126e-05	0.0	0.589041083881	0.589041083881	61.6702598495	0.00688123358636	426.419105668	0.0	306.593591592	0.0	20.88765625	44.6672888721
01/27/1981	23.987596762	0.339166844445	6.83521201391e-06	0.0	0.00014021551533	0.0	0.664733635166	0.664733635166	61.6702598495	0.0343871250264	414.396397795	0.0	306.42829433	0.0	20.88765625	44.875253012
01/28/1981	23.8047807001	0.338173133988	1.14031021645e-06	0.0	5.1495937865e-05	0.0	0.602322591715	0.602322591715	61.6702598495	0.0182222682048	406.930436145	0.0	306.609693552	0.0	20.88765625	44.6924369501
01/29/1981	23.3574337092	0.333038630401	2.50800238758e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.0116260097081	406.420436145	0.0	306.88661929	0.0	20.88765625	44.2450899592
01/30/1981	22.9029464868	0.326953291645	2.50293925034e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.0125756772996	405.910436145	0.0	307.165017512	0.0	20.88765625	43.7906027368
01/31/1981	22.4862502961	0.321131407315	2.50293902047e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00860795050414	405.400436145	0.0	307.432590255	0.0	20.88765625	43.3739065461
02/01/1981	22.103838643	0.315708238485	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6702598495	0.00336216031387	404.890436145	0.0	307.693406947	0.0	20.88765625	42.991494893
02/02/1981	698.522302648	1.41317733805	0.00597893154527	8.297585612	0.00380479983968	0.0	0.722377565083	0.722377565083	61.6702598495	3.15041942302	380.608048709	46.8272051937	272.139826035	0.0	20.88765625	719.409958898
02/03/1981	645.070648831	8.04350670635	0.00462980486201	0.900738200743	0.0010633161741	0.0	0.672099042879	0.672099042879	61.6702598495	1.97329188687	362.020312769	27.0101553943	251.812505043	0.0	20.88765625	665.958305081
02/04/1981	697.668864269	9.89255590175	3.45083799356e-07	0.0	1.00952671423e-05	0.0	1e-07	1e-07	61.6702598495	0.0388194279323	361.510312769	0.0	259.816662053	0.0	20.88765625	718.556520519
02/05/1981	426.379413793	6.05387141992	1.34906650587e-07	0.0	1.00952671423e-05	0.0	1e-07	1e-07	61.6702598495	0.00879917938603	379.617360239	1.861704747	265.856828756	0.0	20.88765625	447.267070043
02/06/1981	302.442105131	4.30390551021	1.34897108559e-07	0.0	1.00952671423e-05	0.0	1e-07	1e-07	61.6702598495	0.0105719458962	379.107360239	0.0	270.157548364	0.0	20.88765625	323.329761381
02/07/1981	234.908305356	3.34883677258	1.34897108126e-07	0.0	1.00952671423e-05	0.0	1e-07	1e-07	61.6702598495	0.00167714273498	395.021166954	1.64238067151	273.480932062	0.0	20.88765625	255.795961606
02/08/1981	202.702650313	2.88171614192	0.00011872638079	0.0	0.000269177786541	0.0	0.576824381058	0.576824381058	61.6702598495	0.158378247268	389.157938326	1.8697264891	274.671125522	0.0	20.88765625	223.590306563
02/09/1981	286.63699847	3.96741288029	0.000810267814117	0.0524052656773	0.00164602766155	0.0	0.662200455483	0.662200455483	61.6702598495	0.521017465113	373.423451106	11.178785125	267.010332977	0.0	20.88765625	307.52465472
02/10/1981	289.493458652	4.11535497857	9.60827252563e-08	0.0	1.01708649348e-05	0.0	1e-07	1e-07	61.6702598495	0.0154235235888	372.913451106	0.0	270.612373526	0.0	20.88765625	310.381114902
02/11/1981	587.538263255	7.52253534862	0.00328341330636	0.726914265219	0.00175092007721	0.0	0.801953958546	0.801953958546	61.6702598495	1.10291814506	343.395514481	22.6522386268	255.255470422	0.0	20.88765625	608.425919505
02/12/1981	1383.66303332	18.5270312537	0.00539573258254	1.05387486049	0.00109610880247	0.0	1.07486796828	1.07486796828	61.6702598495	1.69144368105	291.499799102	27.7247258547	243.804352355	0.0	20.88765625	1404.55068957
02/13/1981	995.967117817	14.1562791424	3.79856864072e-07	0.0	1.00952671423e-05	0.0	1e-07	1e-07	61.6702598495	0.0338301622395	290.989799102	0.0	256.418412062	0.0	20.88765625	1016.85477407
02/14/1981	512.418262065	7.27029076055	1.34908229282e-07	0.0	1.00952671423e-05	0.0	1e-07	1e-07	61.6702598495	0.00234992094227	290.479799102	0.0	263.689314041	0.0	20.88765625	533.305918315
02/15/1981	346.855900049	4.9276652766	4.01526189215e-05	0.0	0.000138124975958	0.0	0.748716608005	0.748716608005	61.6702598495	0.131882208487	276.40870393	0.0	268.144751526	0.0	20.88765625	367.743556299
02/16/1981	276.376588203	3.93111493996	7.93294621816e-05	0.0	0.000194173554788	0.0	0.835482008695	0.835482008695	61.6702598495	0.0403720437528	257.538190768	0.0	270.975850936	0.0	20.88765625	297.264244453
02/17/1981	309.358646803	4.30091230208	0.00065826041826	0.0718807346832	0.00088814102422	0.0	1.25246405622	1.25246405622	61.6702598495	0.157647955326	195.109763208	2.08694039047	268.442519787	0.0	20.88765625	330.246303053
02/18/1981	282.037218338	4.00063619814	8.09943138445e-05	0.0	0.000489098756089	0.0	1.17401764806	1.17401764806	61.6702598495	0.123745046368	160.708321995	0.0	270.189503307	0.0	20.88765625	302.924874588
02/19/1981	259.881535805	3.68669017771	0.000112704728974	0.0	0.000574180349821	0.0	1.34797215693	1.34797215693	61.6702598495	0.122059653066	119.841995433	0.0	271.180044913	0.0	20.88765625	280.769192055
02/20/1981	1109.94657056	11.1402759722	0.0034941630266	4.54827215333	0.00320801390103	0.0	1.27255071261	1.27255071261	61.6702598495	0.70717811913	57.686528488	30.6384175049	252.017242795	0.0	20.88765625	1130.83422681
02/21/1981	2086.10363946	23.8869678564	0.00755662077805	5.6508888669	0.00118166733949	0.0	1.11915705803	1.11915705803	61.6702598495	3.84114641956	6.1742835883	42.1921747375	237.596157977	0.0	20.88765625	2106.99129571
02/22/1981	1465.46563952	20.8071384881	0.000232094865741	0.0	0.00039251310226	0.0	1.12521469394	1.12521469394	61.6702598495	0.231868149424	0.0	3.93893076052	251.602100619	0.0	20.88765625	1486.35329577
02/23/1981	892.652736417	12.6895525398	1.05370906029e-08	0.0	0.0	0.0	0.907442418531	0.907260383589	60.762817431	0.0	0.0	0.0	264.214476482	0.0	20.88765625	913.540392667
02/24/1981	783.06984737	10.2234034495	0.00370238088311	0.788431334501	0.00101124511601	0.0	0.854338612086	0.854338612086	61.6702598495	0.70655255771	0.0	24.3538108443	253.452954971	0.0	20.88765625	803.95750362
02/25/1981	789.212328282	11.2372558958	1.68087832047e-07	0.0	0.0	0.0	1.05944762712	1.05923510045	60.6108122224	0.0	0.0	0.0	264.105371014	0.0	20.88765625	810.099984532
02/26/1981	352.993202269	4.98978860223	0.000151962802677	0.000450604832997	0.000306673630679	0.0	0.587787775657	0.587787775657	61.6702598495	0.0315648783531	0.0	2.87426503332	267.944993842	0.0	20.88765625	373.880858519
02/27/1981	303.6193528	4.32127634689	6.89910056806e-09	0.0	0.0	0.0	1e-07	9.99799408151e-08	61.6702597495	0.0	0.0	0.0	272.270524629	0.0	20.88765625	324.50700905
02/28/1981	227.572156495	3.24905761229	3.13218681214e-13	0.0	0.0	0.0	0.791070538018	0.790911845291	60.8791892154	0.0	0.0	0.0	275.543392296	0.0	20.88765625	248.459812745
03/01/1981	170.081315643	2.42588522926	1.58646183321e-06	0.0	5.22811154389e-05	0.0	0.719993577133	0.719993577133	61.0945016806	0.00308024471418	0.0	0.988565726117	277.934044453	0.0	20.88765625	190.968971893
03/02/1981	156.543606099	2.23649499949	7.20252557987e-11	0.0	0.0	0.0	1e-07	9.72293149431e-08	61.0945015833	0.0	0.0	0.0	280.181028745	0.0	20.88765625	177.431262349
03/03/1981	127.882911596	1.82322684058	2.87614431923e-06	0.0	0.000108722985969	0.0	0.644521795964	0.644521795964	61.5401973154	0.0213384084369	0.0	1.20089482275	281.924385482	0.0	20.88765625	148.770567846
03/04/1981	120.323430216	1.71899003992	1.3057675008e-10	0.0	0.0	0.0	1e-07	9.93525623288e-08	61.5401972161	0.0	0.0	0.0	283.630854276	0.0	20.88765625	141.211086466
03/05/1981	107.46693155	1.53600238021	5.92817528225e-15	0.0	0.0	0.0	1e-07	9.93525618518e-08	61.5401971167	0.0	0.0	0.0	285.174389662	0.0	20.88765625	128.3545878
03/06/1981	93.068971419	1.32987962315	2.50282538723e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.5806945982	0.00160521382682	14.2713555233	1.47813555233	286.501602242	0.0	20.88765625	113.956627669
03/07/1981	85.5553011906	1.22276233324	2.5029390153e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6211920782	0.00122190255792	13.8409812351	0.00796257117502	287.71890416	0.0	20.88765625	106.442957441
03/08/1981	79.1722584958	1.1316310147	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	61.6616895583	0.00257055597371	13.3309812351	0.0	288.846178688	0.0	20.88765625	100.059914746
03/09/1981	76.0378059603	1.08891980547	1.13633255729e-12	0.0	0.0	0.0	0.657355887209	0.657218144607	61.4182127306	0.0	9.19321234559	0.0	289.936707674	0.0	20.88765625	96.9254622103
