Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp45	2030	Ppt	11	0.950134947	1.207714986	0.981617936	1.057571329	0.97536389	1.072713957	1.163924478	0.960841082	1.232280108	1.196276364	1.061064149	0.872974315
GFDL-ESM2G	rcp45	2030	Ppt	12	0.971235241	1.075280643	0.825061356	1.013767109	1.044512617	1.110767608	1.16573904	0.95798652	1.136398341	1.011030178	0.981737081	0.964974389
GFDL-ESM2G	rcp45	2030	Ppt	21	0.86071174	1.215578573	1.263233869	1.024823014	1.005995178	0.957225092	1.168164106	0.978887995	1.219424224	1.187063012	0.891486698	0.917800212
GFDL-ESM2G	rcp45	2030	Ppt	22	0.930274445	1.198718992	1.120685571	1.028819773	0.98739066	0.977588832	1.158367749	1.016503402	1.193944432	1.169442524	0.951173151	0.922317352
GFDL-ESM2G	rcp45	2030	Ppt	31	0.91211391	1.189572016	1.282855661	1.008033351	1.033575381	0.945749845	1.077387555	0.96633667	1.13181272	1.182844099	0.819907712	0.940906912
GFDL-ESM2G	rcp45	2030	Ppt	32	0.883153692	1.312902743	1.268348587	1.023699269	0.89555154	0.957748281	1.101887418	1.003212336	1.14223519	1.19768386	0.886253144	0.980079746
GFDL-ESM2G	rcp45	2030	Ppt	41	0.963429006	1.125246293	1.259067103	1.154000581	1.033690875	1.146897164	0.933696587	1.058274889	1.070746165	1.117227093	0.903266522	0.949641038
GFDL-ESM2G	rcp45	2030	Ppt	42	0.929767456	1.226188196	1.220910352	1.201396415	0.880602414	0.988707136	0.953365821	1.052770096	1.054359684	1.217186753	0.959211441	0.99021708
