Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp45	2030	Tmax	11	0.272390137	1.25052002	2.458314209	0.293572998	0.187946777	0.974282227	0.5415979	0.60369751	0.634068604	1.039805908	1.426724854	1.050263672
GFDL-ESM2G	rcp45	2030	Tmax	12	0.14505249	0.895979004	1.70357666	0.406872559	0.294671631	0.75114624	0.868580322	0.711240234	0.79720459	0.703526611	1.137763672	0.773016357
GFDL-ESM2G	rcp45	2030	Tmax	21	0.752789307	1.248265381	2.85894043	0.537947998	0.420511475	0.94489624	0.405059814	0.429642334	0.830552979	1.07208252	1.557900391	1.567683105
GFDL-ESM2G	rcp45	2030	Tmax	22	0.591418457	1.433852539	2.089056396	0.555200195	0.318519287	0.66967041	0.63300293	0.594534912	0.816187744	0.950422363	1.415480957	1.294290771
GFDL-ESM2G	rcp45	2030	Tmax	31	1.088470459	1.098675537	2.966737061	0.750308838	0.232371826	0.650441895	0.551405029	0.512387695	0.818530273	1.06097168	2.000936279	1.81100708
GFDL-ESM2G	rcp45	2030	Tmax	32	1.369129639	1.561265869	2.881577148	0.909145508	1.016159668	0.423887939	0.673040771	0.47105957	0.901318359	1.2596521	1.88723999	1.839822998
GFDL-ESM2G	rcp45	2030	Tmax	41	1.114346924	0.920164795	2.005505371	0.599107666	0.504088135	1.17395752	0.589927979	0.436744385	0.780137939	0.934346924	1.844758301	1.892077637
GFDL-ESM2G	rcp45	2030	Tmax	42	1.328757324	1.136904297	2.1868396	0.808851318	0.295172119	0.798555908	0.393017578	0.474912109	0.888320313	1.035183105	2.033275146	1.985751953
