Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp45	2030	PET	11	1.085779759	0.986919448	0.950267011	1.005389641	1.042439686	1.020403282	1.029475619	1.034378738	1.047115185	1.038842061	1.017152992	1.054242611
GFDL-ESM2G	rcp45	2030	PET	12	0.999516179	0.970642579	0.883185491	1.002684311	1.068074594	0.951415581	1.020861321	1.041410372	1.048457948	1.028011029	0.980896001	1.041605027
GFDL-ESM2G	rcp45	2030	PET	21	1.208504371	1.020575284	1.093653996	1.041302854	1.058954899	1.033108059	1.013955709	1.071126718	1.051560261	1.051648631	1.094404229	1.107585335
GFDL-ESM2G	rcp45	2030	PET	22	1.032731964	1.004684483	0.904605347	1.0603138	1.045012916	0.963450858	1.027145025	1.035427975	1.063147572	1.034549672	0.984168638	1.029824789
GFDL-ESM2G	rcp45	2030	PET	31	1.13219505	1.217980823	1.153174442	1.097330366	1.055691267	1.02478716	1.017679956	1.08112295	1.05534436	1.042452492	1.11936824	1.15503815
GFDL-ESM2G	rcp45	2030	PET	32	1.132387528	1.104219237	1.044825673	1.089094803	1.090417231	1.102009439	1.079846551	1.10553581	1.057693051	1.090711568	1.058275886	1.034341984
GFDL-ESM2G	rcp45	2030	PET	41	1.138338875	1.132753515	0.96850727	1.059496507	1.126663265	1.103344808	1.032090826	1.061343115	1.059203255	1.038447061	0.903824481	1.086275965
GFDL-ESM2G	rcp45	2030	PET	42	1.212726312	1.214881738	1.052013564	1.072289648	1.067952485	1.04943781	1.007961719	1.058927622	1.027376848	1.045908886	1.102691353	0.914021029
