 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	9/16/2014 9:45:22 AM
StationID:	01414500
Water Year average monthly flow
Year	Month	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/day)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	10	86.2238899489859	3.12272614390662	0.000348714871783473	0.0871847999533485	0	1.26778465172245	0	4.91624820145956	312.438923873343	0
1982	11	51.2511425551045	1.90661203275533	6.84952764834255E-05	0.0110110995782126	0	0.745170208861327	0	1.84262364280056	318.83542441227	0
1982	12	39.0115134067429	1.40785138127462	0.000141693923621402	0.0447523846249396	0	0.22542743086214	200.988386680445	3.176723738805	322.426007228632	0
1982	1	48.1202806569779	1.77499037904848	0.000127774156678828	0.0182032181054005	0	0.135429825842552	447.788935974246	2.58134851044188	320.216138750528	0
1982	2	87.5232225946579	3.1732269819864	0.000385378563569707	0.0900123128776828	0	0.282011439315209	561.462412051607	3.51127207639561	313.326986580404	0
1982	3	87.0606269856624	3.16323937673078	0.000325377915311142	0.0749902590313494	0	0.75958838059243	562.157269541354	3.56736863409699	310.208529806395	0
1982	4	97.6642107901942	3.56955245511858	0.00027305053327694	0.0758357854409698	0	1.38791867388972	71.3818107861697	3.49810649200053	308.1277974554	0
1982	5	19.8376630396971	0.743362807333496	5.76305446900506E-05	0.00285064335794717	0	2.59598592750279	0	2.16549583330017	334.009034604385	0
1982	6	38.2748770366071	1.22543518885482	0.000429409810904373	0.190366520571258	0	2.89556760618245	0	6.28794745009917	326.094437883752	0
1982	7	43.1032171515431	1.61751607163719	5.57552489301942E-05	0.00266671538419411	0	3.95442577499958	0	1.91068672076384	324.820141040158	0
1982	8	14.6076357402926	0.538926328997213	7.32195275580397E-05	0.010523653699062	0	3.03714364338736	0	2.44899682151446	338.882693921236	0
1982	9	14.0621666252489	0.483758742067791	0.000139500970499665	0.0451050105681074	0	2.49993833240501	0	3.21416824219017	340.639608988977	0
1983	10	9.77917725380215	0.36644539081454	3.74345592043115E-05	0.00139907524080343	0	1.64780290435205	0	1.39866959168462	345.432075717739	0
1983	11	45.369899067941	1.46822238481241	0.000433330986217029	0.22056109134369	0	0.952732268170721	0	5.0012751494536	327.807109584692	0
1983	12	56.6031541324818	2.07068540982281	0.000156232654109438	0.0429454572609462	0	0.536512001984862	29.497174913603	2.16493645747905	317.147793149642	0
1983	1	58.4644005170612	2.01220372130282	0.000233658654177983	0.16665291838668	0	0.268822515686701	74.4860232794414	3.17768313697011	318.754753583999	0
1983	2	64.5580191420969	2.35880105278721	0.000189695244224881	0.0508040266786862	0	0.462998576922498	326.221610588897	2.66351388631709	316.602583506026	0
1983	3	112.46240060083	4.08305477709354	0.000390101269624551	0.103187819797739	0	0.785026725563866	45.6697881001818	4.7162211383864	305.831093902094	0
1983	4	168.837147190359	5.89490538389934	0.000828295322023853	0.391959333895258	0	1.31637312060317	93.5985785330285	8.42326838601954	301.955566818179	0
1983	5	79.0118442442131	2.94184893228474	0.000166016936097201	0.00841707999796504	0	2.25247740397841	0	4.53956078074807	313.797765789511	0
1983	6	52.7493365892461	1.79080874345472	0.000274433307360239	0.18553055326802	0	3.6115791291878	0	4.24246205033134	320.72861594438	0
1983	7	17.7705994834196	0.667352410555518	2.4519655081467E-05	0.00113349181682792	0	3.98533387196012	0	1.64601603238588	335.945574540843	0
1983	8	12.4707007327474	0.449984926449952	0.000130776271598012	0.019018353088168	0	3.71037957199226	0	3.64424140550681	341.732153141061	0
1983	9	17.0632310599131	0.377372268747019	0.000202728135714353	0.264325002476153	0	2.7985363708537	0	2.18072645765644	344.980123450691	0
1984	10	11.5151180569356	0.415994016327888	0.000110804299943835	0.0170812651381603	0	1.53005095613135	0	2.74594838491757	343.132454164063	0
1984	11	54.7527303824313	1.92411576072739	0.00049481819204473	0.119363780163607	0	0.807026483809699	4.93410390921097	4.54081382218993	327.726734465293	0
1984	12	128.509535170731	4.56123714612689	0.000552456255935049	0.229440821009527	0	0.26270941178838	91.3166197930716	5.29225523430715	305.642876746352	0
1984	1	43.3820252738178	1.59667533501742	8.48029941542281E-05	0.0226338381047056	0	0.162212018119797	300.004658388364	2.28432843541875	321.466401195087	0
1984	2	103.673959853218	3.80149561684572	0.000306513045050152	0.0608301873710022	0	0.634685697398697	148.553850048064	3.7726760502244	306.36050654899	0
1984	3	79.2210873861442	2.89327159167593	0.00024244756227904	0.0589318146120781	0	0.455599421726261	149.829856019219	3.87867684040773	310.588318033485	0
1984	4	138.44688013758	5.04173954980734	0.000523532121795914	0.122506773350351	0	1.40926959782345	22.1675859695656	5.21708471192073	304.483717017137	0
1984	5	130.98184639472	4.32169610660297	0.000842350326915726	0.549918658918484	0	2.14718825783263	0	8.57143023613632	310.512964589064	0
1984	6	55.7041559929662	2.01640512789299	0.000131221586079976	0.0775067849819328	0	3.58198117985392	0	2.4035761120695	323.253949223156	0
1984	7	29.1056194793267	1.02302516433236	0.000236345122051709	0.0618326594481527	0	3.53416314363746	0	5.42170260158589	328.58095113055	0
1984	8	27.4991285079071	0.98929060655188	0.000176322776000154	0.0425810026590915	0	3.49325455159931	0	3.88343320604826	328.741918370488	0
1984	9	31.9393513057354	1.16210189468638	0.000147106226232211	0.0284616818305716	0	2.3240946709115	0	2.77789090499502	326.106740431492	0
