Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp45	2088	PET	11	1.078392247	1.011631312	0.9397836	0.962404245	1.024619619	1.030721527	1.068135226	1.09161168	1.11920147	1.09854777	1.038688422	1.080276636
GFDL-ESM2G	rcp45	2088	PET	12	1.00357761	0.988093776	0.918072088	0.978340373	0.957864866	0.999425145	0.978147603	1.076921201	1.114074206	1.08682662	0.996220484	1.054800934
GFDL-ESM2G	rcp45	2088	PET	21	1.252993528	1.147541542	1.216026061	1.07284927	1.071767559	1.039232116	1.072940499	1.063909996	1.09459365	1.078043885	1.115386624	1.207802475
GFDL-ESM2G	rcp45	2088	PET	22	1.024862757	1.005667201	0.962948168	1.070576314	0.858963691	0.89592657	0.907111148	1.004810016	1.077830853	1.06963734	0.973056323	1.032677265
GFDL-ESM2G	rcp45	2088	PET	31	1.100913551	1.259090006	1.369811992	1.14279073	1.068757749	1.043269756	1.091034694	1.092850619	1.076765524	1.057991236	1.14478458	1.211653523
GFDL-ESM2G	rcp45	2088	PET	32	1.12778977	1.116919931	1.188861662	1.135728815	1.094857789	1.128677604	1.133390696	1.066411968	1.070854904	1.095106905	1.076036059	1.107433296
GFDL-ESM2G	rcp45	2088	PET	41	1.18349113	1.074570851	1.053844233	1.13492112	1.151359753	1.176961568	1.128182372	1.08021465	1.067775567	1.025297781	0.863528184	1.040751596
GFDL-ESM2G	rcp45	2088	PET	42	0.959637967	1.123315972	1.345916133	1.180784517	1.085743447	1.139273734	1.147390155	1.082746869	1.10953924	1.09766026	1.191995622	0.757637688
