Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp45	2088	Ppt	11	0.879027701	1.07326381	0.968720472	1.041882027	1.135836652	1.210803254	1.083439773	1.096342205	1.163016749	1.072042014	1.1636583	1.140776921
GFDL-ESM2G	rcp45	2088	Ppt	12	0.90575888	0.995269692	0.892907555	0.967067296	1.094397921	1.189076475	1.157705578	1.110986161	1.173364878	0.986107498	1.122795919	1.113610077
GFDL-ESM2G	rcp45	2088	Ppt	21	0.894017301	1.159820185	1.061321643	0.998973299	1.093723228	1.023257	1.126363713	1.115021294	1.103867461	1.061588467	0.976097819	1.067839965
GFDL-ESM2G	rcp45	2088	Ppt	22	0.944526682	1.152321979	0.989399062	0.969856713	1.015342301	1.045753615	1.100583052	1.236123485	1.16132831	1.037491108	1.019488913	1.111491956
GFDL-ESM2G	rcp45	2088	Ppt	31	0.940045906	1.110183265	1.129445927	1.025002307	1.093450393	0.937641887	1.005827748	1.196024873	1.034400001	1.08738649	0.920471293	0.994337466
GFDL-ESM2G	rcp45	2088	Ppt	32	0.959697025	1.306637393	1.083156727	1.079237574	1.0448524	1.048132484	1.020982936	1.194361913	1.098710072	1.050374538	0.95410977	1.127608769
GFDL-ESM2G	rcp45	2088	Ppt	41	0.979902942	1.081752573	1.15945892	1.134466335	1.095451631	1.09644917	0.985826833	1.12762355	0.990166342	1.161907915	0.952420203	0.951474357
GFDL-ESM2G	rcp45	2088	Ppt	42	0.960042147	1.210141146	1.155239431	1.166716922	1.043315683	1.051177152	0.94699054	1.081443915	1.042988762	1.117011082	0.983432886	1.026509042
