# JAS_WU																								
# Units: Mgal/day																								
# released 2014, March 7
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WSgwRT	WSunkTR	WStrans
20401010106	50	0	0	0	-0.000795147	0	0	0	1	0	-0.056030414	0	0	0	0	0	0	0	0	0	0.000741116	0	1	0
20401010201	94	0	0	0	-0.021793514	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.020312622	0	1	0
20401010201	88	0	0	0	-0.025309109	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.023589328	0	1	0
20401010201	83	0	0	0	-0.042318909	0	0	0	1	0	-3.13E-05	0	0	0	0	0	0	0	0	0	0.039443294	0	1	0
20401010201	93	0	0	0	-0.051212956	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.047732982	0	1	0
20401010201	109	0	0	0	-0.053841046	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.05018249	0	1	0
20401010201	112	0	0	0	-0.064590496	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.060201503	0	1	0
20401010201	81	0	0	0	-0.139689432	0	0	0	1	0	-0.000425612	0	0	0	0	0	0	0	0	0	0.130197388	0	1	0
20401010201	80	0	0	0	-0.166981513	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.155634943	0	1	0
20401010201	68	0	0	0	-0.199472151	0	0	0	1	0	-3.69E-05	0	0	0	0	0	0	0	0	0	0.185917808	0	1	0
20401010202	119	0	0	0	-0.000103817	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9.68E-05	0	1	0
20401010202	147	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010202	125	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010202	101	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010202	140	0	0	0	0	0	0	0	1	0	-0.00018975	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010202	111	0	0	0	-0.000361923	0	0	0	1	0	-1.48E-05	0	0	0	0	0	0	0	0	0	0.00033733	0	1	0
20401010202	91	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010202	120	0	0	0	0	0	0	0	1	0	-7.84E-05	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010202	104	0	0	0	-0.000697875	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.000650454	0	1	0
20401010203	132	0	0	0	0	0	0	0	1	0	-0.01190267	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010203	133	0	0	0	0	0	0	0	1	0	-0.037182263	0	0	0	0	0	0	0	0	0	0	0	1	0
20401010203	129	0	0	0	-0.000114208	0	0	0	1	0	-0.040404501	0	0	0	0	0	0	0	0	0	0.000178666	0	1	0
20401010203	115	0	0	0	0	0	0	0	1	0	-0.047660168	0	0	0	0	0	0	0	0	0	0	0	1	0
