# AMJ_WU																								
# Units: Mgal/day																								
# released 2014, March 7
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WSgwRT	WSunkTR	WStrans
20401010106	17	0	0	0	0	0	0	0	0	0	-0.027447633	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010106	31	0	0	0	0	0	0	0	0	0	-0.029076979	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010106	37	0	0	0	0	0	0	0	0	0	-0.03025454	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010106	50	0	0	0	-0.00076751	0	0	0	0	0	-0.052218281	0	0	0	0	0	0	0	0	0	0.000691432	0	0	0
20401010201	94	0	0	0	-0.021036046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018950882	0	0	0
20401010201	88	0	0	0	-0.024429451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02200792	0	0	0
20401010201	83	0	0	0	-0.040848049	0	0	0	0	0	-2.92E-05	0	0	0	-0.001219285	0	0	0	0	0	0.036799051	0	0	0
20401010201	93	0	0	0	-0.04943297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044533006	0	0	0
20401010201	109	0	0	0	-0.051969715	0	0	0	0	0	0	0	0	0	-0.000149354	0	0	0	0	0	0.0468183	0	0	0
20401010201	112	0	0	0	-0.062345551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056165648	0	0	0
20401010201	81	0	0	0	-0.134834306	0	0	0	0	0	-0.000419911	0	0	0	0	0	0	0	0	0	0.121469071	0	0	0
20401010201	80	0	0	0	-0.161177808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145201316	0	0	0
20401010201	68	0	0	0	-0.192539183	0	0	0	0	0	-3.44E-05	0	0	0	0	0	0	0	0	0	0.173454045	0	0	0
20401010202	119	0	0	0	-0.000100209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03E-05	0	0	0
20401010202	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010202	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010202	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010202	140	0	0	0	0	0	0	0	0	0	-0.000187208	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010202	111	0	0	0	-0.000349343	0	0	0	0	0	-1.46E-05	0	0	0	0	0	0	0	0	0	0.000314715	0	0	0
20401010202	91	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000327729	0	0	0	0	0	0	0	0	0
20401010202	120	0	0	0	0	0	0	0	0	0	-7.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010202	104	0	0	0	-0.000673619	0	0	0	0	0	0	0	0	0	-0.000303282	0	0	0	0	0	0.000606848	0	0	0
20401010203	132	0	0	0	0	0	0	0	0	0	-0.011743235	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010203	133	0	0	0	0	0	0	0	0	0	-0.03668421	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010203	129	0	0	0	-8.35E-05	0	0	0	0	0	-0.039863286	0	0	0	0	0	0	0	0	0	0.000156506	0	0	0
20401010203	115	0	0	0	0	0	0	0	0	0	-0.047021764	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010203	99	0	0	0	-0.000137529	0	0	0	0	0	-0.060151248	0	0	0	0	0	0	0	0	0	0.000257853	0	0	0
20401010203	139	0	0	0	-0.001001428	0	0	0	0	0	-0.090593746	0	0	0	0	0	0	0	0	0	0.001877575	0	0	0
20401010203	85	0	0	0	-0.000238047	0	0	0	0	0	-0.139336018	0	0	0	0	0	0	0	0	0	0.000214451	0	0	0
20401010204	178	0	0	0	-3.05E-07	0	0	0	0	0	-7.77E-05	0	0	0	0	0	0	0	0	0	5.73E-07	0	0	0
20401010204	179	0	0	0	-0.003543781	0	0	0	0	0	-2.27E-07	0	0	0	0	0	0	0	0	0	0.006644221	0	0	0
20401010204	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20401010204	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
