# JFM	
# Units: Mgal/day																									
# released March 2014, reprocessed Sept. 2014																									
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	LvSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WSgwRT	WSTransRC	WStransNY
020401020302	43	0	0	-0.00363249	0	0	-0.000866556	0	0	0	0	0	0	0	0	-0.000118167	0	0	0	0	0	0	0	0	0
020401010104	44	0	0	-0.00373648	0	0	-0.001555682	0	0	0	0	0	0	0	0	-0.000212138	0	0	0	0	0	0	0	0	0
020401010105	45	0	0	-0.00525852	0	0	-0.002517293	0	0	0	0	0	0	0	0	-0.000343267	0	0	0	0	0	0	0	0	0
020401020302	46	0	0	-0.00449178	0	0	-0.00152717	0	0	0	0	0	0	0	0	-0.00020825	0	0	0	0	0	0	0	0	0
020401020302	47	0	0	-0.00130128	0	0	-7.92099E-05	0	0	0	0	0	0	0	0	-1.08014E-05	0	0	0	0	0	0	0	0	0
020401010105	48	0	0	-0.00282917	0	0	-0.001340231	0	0	0	0	0	0	0	0	-0.000182759	0	0	0	0	0	0	0	0	0
020401020303	49	0	0	-0.00390282	0	0	-0.003278484	0	0	0	0	0	0	0	0	-0.000447066	0	0	0	0	0	0	0	0	0
020401010106	50	0	0	-0.0111781	0	0	-0.004706654	0	0	0	0	0	0	0	0	-0.000641816	0	0	0	0	0	0	0	0	0
020401010106	51	0	0	0	0	0	-3.64366E-05	0	0	0	0	0	0	0	0	-4.96862E-06	0	0	0	0	0	0	0	0	0
020401020305	52	0	0	-0.00247244	0	0	-0.000711305	0	0	0	0	0	0	0	0	-9.69961E-05	0	0	0	0	0	0	0	0	0
020401010105	53	0	0	-0.000137111	0	0	-9.34674E-05	0	0	0	0	0	0	0	0	-1.27456E-05	0	0	0	0	0	0	0	0	0
020401010106	54	0	0	-0.000811943	0	0	-0.000389712	0	0	0	0	0	0	0	0	-5.31426E-05	0	0	0	0	0	0	0	0	0
020401010106	55	0	0	-0.000548082	0	0	-0.000977451	0	0	0	0	0	0	0	0	-0.000133289	0	0	0	0	0	0	0	0	0
020401010105	56	0	0	-0.00179068	0	0	-0.00137984	0	0	0	0	0	0	0	0	-0.00018816	0	0	0	0	0	0	0	0	0
020401020302	57	0	0	-0.00851713	0	0	-0.000597243	0	0	0	0	0	0	0	0	-8.14422E-05	0	0	0	0	0	0	0	0	0
020401010105	58	0	0	-0.00122402	0	0	-0.000600411	0	0	0	0	0	0	0	0	-8.18742E-05	0	0	0	0	0	0	0	0	0
020401020303	59	0	0	-0.00127574	0	0	-0.00088557	0	0	0	0	0	0	0	0	-0.00012076	0	0	0	0	0	0	0	0	0
020401020303	60	0	0	-0.00323448	0	0	-0.001959549	0	0	0	0	0	0	0	0	-0.000267211	0	0	0	0	0	0	0	0	0
020401020303	61	0	0	-0.00805167	0	0	-0.00055447	0	0	0	0	0	0	0	0	-7.56095E-05	0	0	0	0	0	0	0	0	0
020401010105	62	0	0	-0.00466983	0	0	-0.001085172	0	0	0	0	0	0	0	0	-0.000147978	0	0	0	0	0	0	0	0	0
020401010105	63	0	0	-0.00336788	0	0	-0.00092517	0	0	0	0	0	0	0	0	-0.00012616	0	0	0	0	0	0	0	0	0
020401010105	64	0	0	-0.000437368	0	0	-0.000255056	0	0	0	0	0	0	0	0	-3.47803E-05	0	0	0	0	0	0	0	0	0
020401020305	65	0	0	-0.00178199	0	0	-0.000742989	0	0	0	0	0	0	0	0	-0.000101317	0	0	0	0	0	0	0	0	0
020401010105	66	0	0	-7.84501E-05	0	0	-4.27734E-05	0	0	0	0	0	0	0	0	-5.83273E-06	0	0	0	0	0	0	0	0	0
020401020305	67	0	0	-0.00473855	0	0	-0.000640016	0	0	0	0	0	0	0	0	-8.72749E-05	0	0	0	0	0	0	0	0	0
020401010201	68	0	0	-0.00945855	0	0	-0.002859481	0	0	0	0	0	0	0	0	-0.000389929	0	0	0	0	0	0	0	0	0
020401010105	69	0	0	-0.00137256	0	0	-0.000408723	0	0	0	0	0	0	0	0	-5.5735E-05	0	0	0	0	0	0	0	0	0
020401010105	70	0	0	-0.00318354	0	0	-0.000815862	0	0	0	0	0	0	0	0	-0.000111254	0	0	0	0	0	0	0	0	0
020401020303	71	0	0	-0.00287339	0	0	-0.002053762	0	0	0	0	0	0	0	0	-0.000280058	0	0	0	0	0	0	0	0	0
020401020303	72	0	0	-0.00207271	0	0	-0.001111669	0	0	0	0	0	0	0	0	-0.000151591	0	0	0	0	0	0	0	0	0
020401010106	73	0	0	-0.000138242	0	0	-0.000236046	0	0	0	-0.2822	0	0	0	0	-3.21881E-05	0	0	0	0	0	0	0	0	0
020401020302	74	0	0	-0.00608004	0	0	-0.000755662	0	0	0	0	0	0	0	0	-0.000103045	0	0	0	0	0	0	0	0	0
020401010105	75	0	0	-0.00669148	0	0	-0.003296718	0	0	0	0	0	0	0	0	-0.000449552	0	0	0	0	0	0	0	0	0
020401010105	76	0	0	-0.00308867	0	0	-0.002490356	0	0	0	0	0	0	0	0	-0.000339594	0	0	0	0	0	0	0	0	0
020401020303	77	0	0	-0.00246339	0	0	-0.00143198	0	0	0	0	0	0	0	0	-0.00019527	0	0	0	0	0	0	0	0	0
020401020305	78	0	0	-0.00437702	0	0	-0.001265774	0	0	0	0	0	0	0	0	-0.000172606	0	0	0	0	0	0	0	0	0
020401010105	79	0	0	-0.00181241	0	0	-0.000991707	0	0	0	0	0	0	0	0	-0.000135233	0	0	0	0	0	0	0	0	0
020401010201	80	0	0	-0.00831356	0	0	-0.003287214	0	0	0	0	0	0	0	0	-0.000448256	0	0	0	0	0	0	0	0	0
020401010201	81	0	0	-0.00347177	0	0	-0.002566397	0	0	0	0	0	0	0	0	-0.000349963	0	0	0	0	0	0	0	0	0
020401020302	82	0	0	-0.00183414	0	0	-0.000281987	0	0	0	0	0	0	0	0	-3.84528E-05	0	0	0	0	0	0	0	0	0
020401010201	83	0	0	-0.000418392	0	0	-0.000321592	0	0	0	0	0	0	0	0	-4.38535E-05	0	0	0	0	0	0.716	0	0	0
020401020303	84	0	0	-0.00604968	0	0	-0.001012739	0	0	0	0	0	0	0	0	-0.000138101	0	0	0	0	0	0	0	0	0
020401010203	85	0	0	-0.00760242	0	0	-0.004207632	0	0	0	0	0	0	0	0	-0.000573768	0	0	0	0	0	0	0	0	0
020401020305	86	0	0	-4.83554E-05	0	0	-9.50523E-06	0	0	0	0	0	0	0	0	-1.29617E-06	0	0	0	0	0	0	0	0	0
020401020305	87	0	0	-0.00177703	0	0	-0.000647937	0	0	0	0	0	0	0	0	-8.8355E-05	0	0	0	0	0	0	0	0	0
020401010201	88	0	0	-0.000689125	0	0	-0.000256641	0	0	0	0	0	0	0	0	-3.49964E-05	0	0	0	0	0	0	0	0	0
020401020303	89	0	0	-0.00766003	0	0	-0.000431585	0	0	0	0	0	0	0	0	-5.88524E-05	0	0	0	0	0	0	0	0	0
020401020402	90	0	0	-0.00204511	0	0	-0.002175105	0	0	0	0	0	0	0	0	-0.000296605	0	0	0	0	0	0	0	0	0
020401010202	91	0	0	-0.00392076	0	0	-0.001029732	0	0	0	0	0	0	0	0	-0.000140418	0	0	0	0	0	0	0	0	0
020401020306	92	0	0	-0.00119216	0	-0.0001	-9.18834E-05	0	0	0	0	0	0	0	-0.0018	-1.25296E-05	0	0	0	0	0	0	0	0	0
020401010201	93	0	0	-0.00192417	-0.7682	0	-0.000812694	0	0	0	0	0	0	0	0	-0.000110822	0	0	0	0	0	0	0	0	0
020401010201	94	0	0	-0.0011395	0	0	-0.000204362	0	0	0	0	0	0	0	0	-2.78675E-05	0	0	0	0	0	0	0	0	0
020401020305	95	0	0	-0.00273342	0	0	-0.001108941	0	0	0	0	0	0	0	0	-0.000151219	0	0	0	0	0	0	0	0	0
020401020305	96	0	0	-0.00396405	0	0	-0.001729948	0	0	0	0	0	0	0	0	-0.000235902	0	0	0	0	0	0	0	0	0
020401020402	97	0	0	-0.00477315	0	0	-0.001996086	0	0	0	0	0	0	0	0	-0.000272194	0	0	0	0	0	0	0	0	0
020401010205	98	0	0	-0.00623619	0	0	-0.004022278	0	0	0	0	0	0	0	0	-0.000548492	0	0	0	0	0	0	0	0	0
020401010203	99	0	0	-0.00254716	0	0	-0.002688382	0	0	0	0	0	0	0	0	-0.000366598	0	0	0	0	0	0	0	0	0
020401020402	100	0	0	-0.00346487	0	0	-0.000624174	0	0	0	0	0	0	0	0	-8.51147E-05	0	0	0	0	0	0	0	0	0
020401010202	101	0	0	-0.00127707	0	0	-0.000589322	0	0	0	0	0	0	0	0	-8.03621E-05	0	0	0	0	0	0	0	0	0
020401020306	102	0	0	-0.00772884	0	0	-0.000712889	0	0	0	0	0	0	0	0	-9.72121E-05	0	0	0	0	0	0	0	0	0
020401020402	103	0	0	-0.00188704	0	0	-0.001318055	0	0	0	0	0	0	0	0	-0.000179735	0	0	0	0	0	0	0	0	0
020401010202	104	0	0	-0.0113572	0	0	-0.002889577	0	0	0	0	0	0	0	0	-0.000394033	0	0	0	0	0	0	0	0	0
020401020303	105	0	0	-0.00305318	0	0	-0.000185925	0	0	0	0	0	0	0	0	-2.53534E-05	0	0	0	0	0	0	0	0	0
020401020303	106	0	0	-0.00228077	0	0	-0.000326344	0	0	0	0	0	0	0	0	-4.45015E-05	0	0	0	0	0	0	0	0	0
020401020402	107	0	0	-0.000580113	0	0	-0.000389712	0	0	0	0	0	0	0	0	-5.31426E-05	0	0	0	0	0	0	0	0	0
020401020306	108	0	0	-0.00247398	0	0	-0.000274066	0	0	0	0	0	0	0	0	-3.73727E-05	0	0	0	0	0	0	0	0	0
020401010201	109	0	0	-0.00265967	0	0	-0.001020228	0	0	0	0	0	0	0	0	-0.000139122	0	0	0	0	0	0	0	0	0
020401020305	110	0	0	-0.00409159	0	0	-0.001801237	0	0	0	0	0	0	0	0	-0.000245623	0	0	0	0	0	0	0	0	0
020401010202	111	0	0	-0.00411068	0	0	-0.002286002	0	0	0	0	0	0	0	0	-0.000311728	0	0	0	0	0	0	0	0	0
020401010201	112	0	0	-0.00254698	0	0	-0.001253102	0	0	0	0	0	0	0	0	-0.000170878	0	0	0	0	0	0	0	0	0
