 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	10/29/2013 12:50:46 PM
StationID:	2013-29-10_b
Water Year average monthly flow
Year	Month	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Overland Flow (mm/day)	PET (mm/day)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1982	10	496.71377107198	1.28230530720371	0.0137246338022831	0.0110994554461665	0.000383487727577117	1.54259227698278	0	3.51585860471036	327.329967952245	0.000233010413224665
1982	11	593.005239761113	1.55861256203468	0.00614105022144141	0.0049555325432812	0.000187289840707878	1.02487471744042	0	1.72661729272446	320.465623729789	0.000296702238277336
1982	12	631.310157388086	1.63145171019751	0.00892391245912818	0.00903348957469372	0.000274284236266373	0.427137630240003	84.4913981132047	2.71401025226305	319.367643525957	0.000314371738518543
1982	1	837.038572350674	2.14832833905761	0.016282232487148	0.0364698853875087	0.000468457233991323	0.206666388964489	232.058033598787	3.42967537982517	319.710038644361	0.000432842068901504
1982	2	942.121184857435	2.43453132359926	0.0199866461817947	0.00589113346682755	0.000537592694439654	0.517115382191523	379.718806230316	2.76386887942085	312.974003437786	0.000510699964121019
1982	3	856.592977794641	2.24254224445722	0.00537816795636257	0.00158369327198979	0.000434529979396155	0.996145820571315	123.444492833082	2.16646244619018	314.19998921695	0.00045997563654899
1982	4	1107.62206944902	2.82871322102805	0.0226294992583257	0.0527727424641632	0.000755239507620331	1.834943766216	6.37630154817278	4.76353151960941	311.559863577022	0.000589991160971254
1982	5	413.307942974955	1.07785591233352	0.0115189381282918	0.0117698800547646	0.000242477565842191	3.23272161628805	0	3.49319293326814	328.012424732198	0.000168677286101122
1982	6	1435.28126321302	3.68215779780422	0.0429414481281665	0.0504324052667912	0.00115162755262451	3.44214007489116	0	6.76307170262407	307.674741126496	0.000791187088187141
1982	7	483.870740076161	1.2948407111756	0.00359962454085383	0.00164206475197821	0.000158888002326175	4.3814696960789	0	2.6596387885538	325.364251887971	0.000210023406734588
1982	8	517.367539737297	1.27153197568354	0.0195690028937791	0.0869423728962875	0.000287269636614763	3.48304766054097	0	4.35571230379701	323.843505651817	0.000239232826676589
1982	9	359.46953237197	0.913400379283581	0.0122884897839501	0.0317869502732872	0.000196318859864926	2.70828732287456	0	2.98721300254113	329.645268687786	0.000138676312343585
1983	10	368.722658068572	0.969037072022462	0.00559737480878926	0.00828529571620619	0.000118207932741669	1.77653854955695	0	1.71783199452389	327.60071107821	0.000159440822906422
1983	11	589.919739860301	1.48007781577002	0.016699568108529	0.0409213537733215	0.000340567704069658	1.16691869340482	0	3.48592429718799	321.787714251564	0.000278328335395612
1983	12	594.920839511999	1.52561457265006	0.00715352818735591	0.0328121687617534	0.000188543709823198	0.758816679532568	0	1.89396735467507	321.386785769067	0.000290346147894034
1983	1	511.826883043361	1.32494521177109	0.0080071282780842	0.00346973966064059	0.000253889901599759	0.441432058909478	21.8847228919922	2.1611996412203	324.42148122127	0.000235426880520182
1983	2	813.556029878983	2.08990128880142	0.0112694551669139	0.0373092641027291	0.00037985870698982	0.6063663501713	213.202299866608	3.02947486045001	317.686259125963	0.000421743534598447
1983	3	906.300421646263	2.3428311600459	0.0129359550558651	0.015664669750486	0.000540124654623152	1.10973238428579	10.5371088321317	3.19539467384625	313.800103987771	0.000477615945250566
1983	4	3227.13251538499	7.65523495401426	0.105893279738339	0.708432606290191	0.00350572998751333	1.66883698980241	0	10.0077378400415	297.854229808399	0.00168472643245298
1983	5	846.791898102593	2.17312236751473	0.0147736152561198	0.0337561875712179	0.000572420056225848	2.62974170697734	0	4.87941410661296	316.284096740402	0.000441622358059009
1983	6	877.758350284302	2.24414884082713	0.0253211357957513	0.0528332167873975	0.000555484052674983	4.02685005913513	0	5.24163283396784	314.149159099577	0.000440842691150978
1983	7	418.263442283572	1.12540219922258	0.0033756855298408	0.00271427770004747	7.40980859725798E-05	4.59596236794472	0	1.58309869596389	327.687204997656	0.000154123433813604
1983	8	241.789885592979	0.618194448560952	0.00801992564624659	0.0279454234651844	0.000127967068849808	4.20558281680735	0	2.88294905329633	336.178746489825	6.44792095740002E-05
1983	9	173.296039919226	0.439158151849088	0.00640859360701798	0.023194925368102	7.48244873986626E-05	3.16258483573773	0	1.51960124211724	342.524826456413	3.82988820390966E-05
1984	10	659.200016062965	1.6959763828412	0.0197664055387165	0.0614324213733901	0.000459605728498629	1.73409341599818	0	4.27829231926844	325.666292669861	0.000357685418774902
1984	11	1772.29433192801	4.36578341684477	0.0612010315005802	0.222631166290249	0.00151307084648631	1.01118505199738	0	6.44928550165694	306.653416181503	0.000963931181614707
1984	12	2451.78073532867	6.02935968116519	0.0611656338393965	0.342493254257767	0.00208192260030118	0.412926541006861	6.82983243495076	6.85178792338264	300.868326676183	0.00135624973827803
1984	1	562.87491157178	1.47990135205469	0.00301582444625593	0.00182868704895968	0.000112936134441132	0.204883623428718	125.129321802472	1.8018282132797	322.123356198206	0.000287753603408911
1984	2	1287.87163272885	3.29235386998159	0.0297720602136942	0.0463549405191391	0.00105577064861114	0.756744727008655	85.3868527701632	3.9844520385048	310.470888573213	0.000706554802549332
1984	3	1070.60690100304	2.74706428232636	0.0180287823658525	0.0399545292502391	0.000684540255271417	0.687183344748148	33.0159960230069	3.67322964862081	311.761617403049	0.000579781979029488
