 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	10/29/2013 12:50:47 PM
StationID:	2013-29-10_b
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
12/19/1990	1441.92203712	3.40142177095	0.0476741760094	0.0217137336509	0.15125245009	0.00173410023273	0.752319111539	0.752319111539	44.9457102393	0.00809699686548	0.0	9.64772427477	305.344396343	0.000742783594871
12/20/1990	1318.48506142	3.26566477938	2.16440424231e-06	0.0	0.0	0.0	0.676699182233	0.661566761349	44.269011057	0.0	0.0	0.0	308.674499117	0.000690174865106
12/21/1990	1233.82099566	2.97346806448	0.0390233904578	0.0	0.0857933926467	0.00104063951302	0.724267507296	0.724267507296	44.9457102393	0.00613267104298	0.0	6.30578985412	306.825591076	0.000622763117979
12/22/1990	1703.17196257	4.05085668118	0.0588330999288	0.0201176019583	0.165511269119	0.0024693408648	0.955289435648	0.955289435648	44.9457102393	0.00958619600874	0.0	10.9873663292	300.897741987	0.000906126825466
12/23/1990	1833.91328249	4.42422449221	0.0514782433783	0.0	0.0958676558757	0.00161971279365	1.27483451401	1.27483451401	44.9457102393	0.0910999615691	0.0	7.86368744551	298.819264271	0.00100381515001
12/24/1990	4801.78823138	10.6502929229	0.395247947474	0.68726908077	0.186451130444	0.00913114352072	1.21220461037	1.21220461037	44.9457102393	0.00941108079111	0.0	27.2248522052	283.874256464	0.00235204298795
12/25/1990	4149.04960161	10.30379897	1.79442290541e-05	0.0	0.0	0.0	0.503219105272	0.491966064194	44.442491134	0.0	0.0	0.0	294.120653611	0.00234950654858
12/26/1990	2280.03781499	5.6604057071	8.14666738698e-10	0.0	0.0	0.0	1e-07	9.48733925259e-08	44.4441490676	0.0	0.0	0.0	300.114296029	0.00129504637163
12/27/1990	1641.8931283	4.09161007189	3.69858127168e-14	0.0	0.0	0.0	1e-07	9.48733919759e-08	44.4441489708	0.0	0.0	0.0	304.493851374	0.000985265900705
12/28/1990	1194.20713148	2.9806886264	4.72040380728e-06	0.0	0.0011357765978	9.31905143731e-06	1e-07	1e-07	44.4858909484	1.3368844612e-05	201.855661384	20.2365661384	307.694033048	0.000658556809605
12/29/1990	1060.95791862	2.63444813578	0.0032641803341	0.0	0.0283412281904	0.000224786513253	0.490987486268	0.490987486268	44.9457102393	0.00169339573586	200.667515845	1.78547296677	309.578317049	0.000582430299202
12/30/1990	1044.59346559	2.55506836917	0.0104511139811	0.0	0.0761590724247	0.000614746178471	0.707115700164	0.707115700164	44.9457102393	0.103875598913	172.555655324	1.76889420726	308.515553556	0.000564966159826
12/31/1990	1592.69414058	3.75578119463	0.0711408757524	0.0222888074408	0.179290823326	0.00236556615672	0.954959334377	0.954959334377	44.9457102393	0.011182180509	121.322001946	7.03030813737	301.165462227	0.000860947839222
01/01/1991	1598.67308344	4.01481067686	3.2297907624e-06	0.0	0.0	0.0	0.488313087221	0.478632283827	44.5127980133	0.0	120.767993333	0.0	305.309699997	0.000925957344528
01/02/1991	1262.55551228	3.18646498037	1.4663227376e-10	0.0	0.0	0.0	0.539402596749	0.536788534513	44.4599225713	0.0	115.92714248	0.0	308.646513351	0.000667708338384
01/03/1991	980.945083873	2.47838546977	3.69196899171e-06	0.0	0.00235359579937	1.69654272588e-05	0.563240185363	0.563240185363	44.5464105346	2.69605597616e-05	109.240778121	0.0	311.249287408	0.00054327126839
01/04/1991	908.305354333	2.30387075225	1.67615132909e-10	0.0	0.0	0.0	0.506507401669	0.49245714992	44.2446822731	0.0	107.266055312	0.0	313.694422923	0.000508751696794
