Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2060	PET	32	1.10237988	1.154070662	1.106777213	1.087130976	1.094480408	1.089161317	1.097290544	1.107619716	1.119960943	1.127342094	1.136741382	1.122296507
CCSM4	rcp45	2060	PET	33	1.039652876	1.033765739	1.030647752	1.001831754	1.05885267	1.062574906	1.044548384	1.047362252	1.043494402	1.028966441	1.039149237	1.04078541
CCSM4	rcp45	2060	PET	42	1.152143035	1.210335164	1.12457752	1.107415099	1.101914331	1.105855981	1.0989176	1.103958207	1.120769338	1.134196963	1.145630445	1.144508393
CCSM4	rcp45	2060	PET	43	1.089355225	1.167156587	1.104087309	1.091916334	1.097257467	1.098939964	1.094479955	1.101466819	1.116041059	1.125891711	1.122096238	1.107405599
CCSM4	rcp45	2060	PET	52	1.135067961	1.162919024	1.134890434	1.113567291	1.1020565	1.115815056	1.10194204	1.103234518	1.119714369	1.130582001	1.138342002	1.156592593
CCSM4	rcp45	2060	PET	53	1.114773456	1.148930593	1.111721827	1.103603002	1.09656292	1.107144131	1.10014901	1.104542494	1.114735381	1.126842655	1.129290633	1.142503397
CCSM4	rcp45	2060	PET	62	1.169189513	1.184803596	1.138818814	1.13529644	1.114518368	1.116659411	1.10370084	1.105985011	1.131396342	1.137166777	1.147502391	1.171048254
CCSM4	rcp45	2060	PET	63	1.165790617	1.172675217	1.125510643	1.117252256	1.104176103	1.111122788	1.100280462	1.102395028	1.122808844	1.141778814	1.157087947	1.157004173
