Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp45	2060	Ppt	32	1.073197633	1.047954766	1.100965931	1.132449907	1.055838122	1.02470633	1.106511117	1.172408702	1.151408466	1.039265899	1.054738942	1.089946601
CCSM4	rcp45	2060	Ppt	33	1.092442893	1.044169552	1.102588518	1.116955904	1.051447025	1.056813154	1.127104812	1.200988529	1.127190416	1.034623933	1.043951165	1.088140388
CCSM4	rcp45	2060	Ppt	42	1.058257669	1.063529686	1.073375966	1.074632733	1.026063706	0.97178136	1.053922982	1.098227288	1.142785858	1.007056759	1.053845645	1.061869884
CCSM4	rcp45	2060	Ppt	43	1.079585215	1.028844305	1.090047535	1.074248891	1.041148479	0.990890522	1.092614583	1.169185691	1.171262449	1.013883333	1.04771898	1.063441708
CCSM4	rcp45	2060	Ppt	52	1.044005373	1.075960114	1.09507451	1.062843147	0.995220538	0.93883255	1.026458792	1.056027081	1.11584528	1.020929643	1.032216901	1.030054459
CCSM4	rcp45	2060	Ppt	53	1.054558102	1.049321401	1.090772641	1.045165599	0.999033122	0.946203751	1.041653361	1.101188988	1.147777115	1.012639036	1.042917913	1.036165126
CCSM4	rcp45	2060	Ppt	62	1.043203427	1.059610683	1.128557793	1.103879812	0.95787988	0.913882099	0.999793463	1.037488122	1.04113888	1.020890776	1.002094906	1.029532891
CCSM4	rcp45	2060	Ppt	63	1.028888373	1.060001526	1.114500367	1.078897026	0.966062375	0.940564796	1.023929247	1.046387671	1.053241403	1.020360665	1.023289752	1.034527939
