siteNo,date,discharge
basin0,1981-07-01,45.2921354159
basin0,1981-07-02,45.0207920303
basin0,1981-07-03,55.1248364272
basin0,1981-07-04,51.7004174709
basin0,1981-07-05,153.936812394
basin0,1981-07-06,133.981608495
basin0,1981-07-07,140.081744079
basin0,1981-07-08,124.495322806
basin0,1981-07-09,110.897066053
basin0,1981-07-10,100.092050685
basin0,1981-07-11,91.2885471832
basin0,1981-07-12,83.970779876
basin0,1981-07-13,77.7876013816
basin0,1981-07-14,72.4912827127
basin0,1981-07-15,67.901842124
basin0,1981-07-16,63.8852471604
basin0,1981-07-17,60.3395576987
basin0,1981-07-18,57.1858175118
basin0,1981-07-19,54.3618927464
basin0,1981-07-20,59.6163957731
basin0,1981-07-21,740.561690059
basin0,1981-07-22,85.1590435001
basin0,1981-07-23,78.1865914926
basin0,1981-07-24,71.4078981444
basin0,1981-07-25,66.9561091582
basin0,1981-07-26,63.0522885667
basin0,1981-07-27,71.1090835233
basin0,1981-07-28,66.990300504
basin0,1981-07-29,69.806185065
basin0,1981-07-30,64.6259919228
basin0,1981-07-31,60.6288022864
basin0,1981-08-01,57.443607619
basin0,1981-08-02,54.5931362064
basin0,1981-08-03,52.0268277536
basin0,1981-08-04,48.955845599
basin0,1981-08-05,48.1119816012
basin0,1981-08-06,46.1762262074
basin0,1981-08-07,44.3635684232
basin0,1981-08-08,42.6964421096
basin0,1981-08-09,40.6556634689
basin0,1981-08-10,40.1895331127
basin0,1981-08-11,38.9476250425
basin0,1981-08-12,37.3673321179
basin0,1981-08-13,36.8649206713
basin0,1981-08-14,35.7485296938
basin0,1981-08-15,34.6909435359
basin0,1981-08-16,37.7771142745
basin0,1981-08-17,37.1146211541
basin0,1981-08-18,36.5692863166
basin0,1981-08-19,35.4588923045
basin0,1981-08-20,34.4188993187
basin0,1981-08-21,33.4427797247
basin0,1981-08-22,32.5247918706
basin0,1981-08-23,31.6598648977
basin0,1981-08-24,30.8435032791
basin0,1981-08-25,33.7790758036
basin0,1981-08-26,33.1496919931
basin0,1981-08-27,33.0977085421
basin0,1981-08-28,32.1992810611
basin0,1981-08-29,31.352272616
basin0,1981-08-30,30.5523681405
basin0,1981-08-31,32.415768863
basin0,1981-09-01,32.3381830024
basin0,1981-09-02,32.124333436
basin0,1981-09-03,31.6967957156
basin0,1981-09-04,31.3930099751
basin0,1981-09-05,30.6066486428
basin0,1981-09-06,29.8466269355
basin0,1981-09-07,31.1278068321
basin0,1981-09-08,33.4543848336
basin0,1981-09-09,670.333188906
basin0,1981-09-10,149.997080488
basin0,1981-09-11,140.456227207
basin0,1981-09-12,121.400613198
basin0,1981-09-13,107.866328841
basin0,1981-09-14,97.4603709144
basin0,1981-09-15,125.1371583
basin0,1981-09-16,103.390786808
basin0,1981-09-17,97.5361428809
basin0,1981-09-18,90.0990792266
basin0,1981-09-19,83.6458452247
basin0,1981-09-20,79.4537429345
basin0,1981-09-21,77.3364564192
basin0,1981-09-22,71.905954154
basin0,1981-09-23,87.1954995644
basin0,1981-09-24,136.989078737
basin0,1981-09-25,153.844962696
basin0,1981-09-26,159.19238821
basin0,1981-09-27,140.828155748
basin0,1981-09-28,125.576220814
basin0,1981-09-29,124.060551951
basin0,1981-09-30,114.866752476
basin0,1981-10-01,88.9950828948
basin0,1981-10-02,166.688119137
basin0,1981-10-03,194.916273696
basin0,1981-10-04,196.723604393
basin0,1981-10-05,159.193322725
basin0,1981-10-06,133.780078347
basin0,1981-10-07,129.878597507
basin0,1981-10-08,145.694837815
