Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp45	2060	PET	11	1.081511472	1.024077269	0.979532294	0.970144294	1.02398894	1.01875901	1.053284753	1.116362911	1.127531701	1.146645227	1.09192789	1.126833744
GFDL-ESM2G	rcp45	2060	PET	12	0.989695859	0.995115047	0.968287635	0.949338591	0.941660066	0.882025426	0.953492226	1.052291614	1.041477431	1.102397137	1.036986028	1.083311114
GFDL-ESM2G	rcp45	2060	PET	21	1.205603764	1.181345491	1.174875807	1.072922566	1.073534178	1.07542666	1.053854872	1.127469737	1.136967696	1.10978327	1.108841143	1.189780441
GFDL-ESM2G	rcp45	2060	PET	22	0.977840014	0.999507604	1.022011493	1.021142638	0.862920806	0.889917609	0.909958031	1.062941694	1.032637689	1.129056391	1.022269021	1.043855292
GFDL-ESM2G	rcp45	2060	PET	31	1.180250797	1.427152938	1.277978869	1.139233851	1.088365907	1.108924723	1.068906929	1.151162512	1.139039353	1.089864244	1.14865223	1.091334991
GFDL-ESM2G	rcp45	2060	PET	32	1.088381879	1.131399467	1.238522259	1.119278595	1.091669422	1.145367496	1.091409601	1.128598278	1.08718394	1.150628594	1.105294974	1.07739387
GFDL-ESM2G	rcp45	2060	PET	41	1.06889732	1.185996803	1.053859056	1.109389202	1.120811866	1.254481702	1.106351514	1.149589039	1.103805711	1.07210193	0.867012629	1.067042895
GFDL-ESM2G	rcp45	2060	PET	42	1.079777438	1.388039215	1.333610793	1.183234455	1.070113138	1.174718072	1.146956143	1.172813947	1.143920147	1.156842947	1.210255774	0.810969985
