Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
GFDL-ESM2G	rcp45	2060	Tmax	11	1.314973145	1.056975098	1.496358643	0.677044678	1.054436035	1.491536865	1.184404297	1.352858887	2.311488037	1.717121582	1.648842773	0.88442749
GFDL-ESM2G	rcp45	2060	Tmax	12	0.919516602	0.746060791	1.016496582	0.633417969	0.832441406	1.427716064	1.590216064	1.575665283	1.955648193	1.590096436	1.537974854	0.755218506
GFDL-ESM2G	rcp45	2060	Tmax	21	2.117232666	1.466278076	1.894197998	0.835161133	1.327781982	1.68236084	1.432414551	1.744447021	2.826417236	1.63927002	1.734178467	1.396464844
GFDL-ESM2G	rcp45	2060	Tmax	22	1.505686035	1.349466553	1.425968018	0.785563965	0.866137695	1.27869873	1.401217041	1.474019775	2.222279053	1.604245605	1.511693115	1.189613037
GFDL-ESM2G	rcp45	2060	Tmax	31	2.681566162	1.710955811	2.016583252	1.019202881	1.433859863	1.601048584	1.968184814	2.051673584	3.344294434	1.591988525	2.059179687	1.564117432
GFDL-ESM2G	rcp45	2060	Tmax	32	2.875760498	2.08112793	2.323676758	1.144157715	1.815406494	1.359595947	2.123571777	2.024797363	3.245744629	1.798140869	1.810739746	1.795463867
GFDL-ESM2G	rcp45	2060	Tmax	41	2.570456543	1.510855713	1.14543457	0.748436279	1.347989502	1.993167725	1.854592285	1.558919678	2.685732422	1.345070801	1.777133789	1.62850708
GFDL-ESM2G	rcp45	2060	Tmax	42	3.139112549	2.138413086	1.810838623	1.357711182	1.57473877	1.261341553	1.95946167	2.220465088	3.659639893	1.720429688	1.943973389	2.076494141
