 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	9/16/2014 9:56:28 AM
StationID:	01435000
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1/1/1981	49.3807049793577	0.698825454180563	2.60202936823152E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.5147987961248	0.000877594597397338	256.633092236517	0	303.748882019614	0
1/2/1981	47.270181545844	0.669068958266335	2.60202937339463E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.5556859872647	0.000394553041555069	266.602133263461	1.04790410269444	304.412153444299	0
1/3/1981	45.3273330884567	0.641597981121431	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.5965731784047	0.000919363564939924	266.092133263461	0	305.048692580607	0
1/4/1981	43.5424971585928	0.616335601764996	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.6374603695447	0.00180752982677514	275.582133263461	1	305.660082193948	0
1/5/1981	41.8975603507797	0.593044466387262	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.6783475606847	0.00184306500736155	275.072133263461	0	306.247090096275	0
1/6/1981	40.3814327135996	0.571574235781344	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.7192347518248	0.000533896430744921	274.562133263461	0	306.811059402385	0
1/7/1981	38.9599097295062	0.551441075593813	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.7601219429647	0.00199746877344957	379.766620032837	10.5714486769376	307.357499809838	0
1/8/1981	37.6455071354793	0.532825441598554	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8007314808274	0.000787117096062956	379.256620032837	0	307.882439498341	0
1/9/1981	36.4160597837451	0.515412178092249	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8412278776841	0.000747815771984012	378.746620032837	0	308.390977289855	0
1/10/1981	35.2842758413787	0.499383116656794	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00234233507754233	378.236620032837	0	308.865576302092	0
1/11/1981	34.2458502125165	0.484676804593194	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.0123089663056022	377.726620032837	0	309.312371968251	0
1/12/1981	33.3431852810081	0.471896769567143	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00252679495354639	377.216620032837	0	309.726349037551	0
1/13/1981	32.4413666621024	0.459121407410738	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00628677722492596	376.706620032837	0	310.141100646633	0
1/14/1981	31.6091584582122	0.447334180285365	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00540312264162716	376.196620032837	0	310.539270795706	0
1/15/1981	30.8169560526178	0.436112632927375	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00644902699273915	375.686620032837	0	310.928049639178	0
1/16/1981	30.0639313024128	0.425445793664938	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00852618663647158	408.864893283084	3.36882732502471	311.30715161453	0
1/17/1981	29.3588513979076	0.415458728091424	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00602729251118543	439.444036207468	3.10891429243837	311.671537300712	0
1/18/1981	28.6776406553645	0.405808567700232	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00939233484223305	438.934036207468	0	312.03211510248	0
1/19/1981	28.04072435875	0.396786867975758	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00608978065787187	438.424036207468	0	312.376860468243	0
1/20/1981	27.559566337161	0.38941660001195	9.33252574620625E-07	0	4.63385460426642E-05	0	0.580306495877047	0.580306495877047	61.8624671654966	0.00550983524110727	431.443621143994	0	312.652257349591	0
1/21/1981	27.180625369718	0.383342494004418	1.64873104944358E-06	0	6.49218995061943E-05	0	0.59424435994059	0.59424435994059	61.8624671654966	0.0143179526814271	423.546232780488	0	312.853556091968	0
1/22/1981	26.8645015357631	0.380389474699945	5.81881000355027E-08	0	8.93883729561479E-06	0	0.55758214975861	0.557575862428807	61.7984411216669	1.33400664892671E-05	418.602511519632	0	313.221633309548	0
1/23/1981	25.9683253590153	0.367495120699005	2.60217541500954E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8388416150566	0.00043566999717232	434.053354076151	1.59608425565184	313.581332678535	0
1/24/1981	25.3995672524303	0.359390872179198	2.60202938002515E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.001678734211895	433.543354076151	0	313.91673276413	0
1/25/1981	24.8744456999863	0.351937575327047	2.60202937339517E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.0070387188391482	433.033354076151	0	314.224914849757	0
1/26/1981	24.4650304939462	0.345753036839263	7.58305726363179E-07	0	4.04491985539479E-05	0	0.589320010977196	0.589320010977196	61.8624671654966	0.0074558587451415	426.226884072557	0	314.483576620195	0
1/27/1981	24.6649417500893	0.345444181056286	7.18284346211352E-06	0	0.000145282584986547	0	0.665211738224074	0.665211738224074	61.8624671654966	0.0368428151183777	414.172057682803	0	314.323860254862	0
1/28/1981	24.4776040349793	0.344403204433545	1.21417083969698E-06	0	5.39335016054183E-05	0	0.602754099726535	0.602754099726535	61.8624671654966	0.0195516791975164	406.674537871936	0	314.507760579124	0
1/29/1981	24.0218298832811	0.339224733862202	2.60742356852827E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.012050810002823	406.164537871936	0	314.790077489889	0
1/30/1981	23.5568006022912	0.333057199182604	2.60202961829095E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.012942919735861	405.654537871936	0	315.074638440628	0
1/31/1981	23.1297377708563	0.327147370857196	2.60202937340599E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00896912491038277	405.144537871936	0	315.348336370338	0
2/1/1981	22.7373866331157	0.321636587873001	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8624671654966	0.00360596501748975	404.634537871936	0	315.615076669876	0
2/2/1981	697.856580184963	1.35434701885092	0.00616931808392562	8.25065455958827	0.00387990719584945	0	0.723076265984617	0.723076265984617	61.8624671654966	3.35537038279036	380.279574987758	46.7616504617499	280.23079608298	0
2/3/1981	615.686040803943	7.54342474673637	0.00476898127583868	0.894463371047836	0.00108256739751334	0	0.672390738905502	0.672390738905502	61.8624671654966	2.1241007668631	361.659748503615	26.991478896523	259.348258618691	0
2/4/1981	684.692325097457	9.61300191827213	3.56734025979632E-07	0	1.03793588636667E-05	0	1E-07	1E-07	61.8624671654966	0.0460677581685845	361.149748503615	0	266.922179190464	0
2/5/1981	428.780801717248	6.03065477677971	1.40238806717647E-07	0	1.03793588636667E-05	0	1E-07	1E-07	61.8624671654966	0.00935828501778121	379.392312529232	1.87525640256174	272.931725894789	0
2/6/1981	306.850240135794	4.3254932299724	1.40228977849898E-07	0	1.03793588636667E-05	0	1E-07	1E-07	61.8624671654966	0.0109042789987729	378.882312529232	0	277.254072743275	0
2/7/1981	239.459977704375	3.38132582712266	1.40228977403668E-07	0	1.03793588636667E-05	0	1E-07	1E-07	61.8624671654966	0.00183665466518574	394.754704237256	1.63823917080233	280.610281828002	0
2/8/1981	206.903756372028	2.91345857002947	0.000123570877920385	0	0.000276193856484837	0	0.57703048929257	0.57703048929257	61.8624671654966	0.16756848990256	388.865679956546	1.87060301068849	281.838604417339	0
2/9/1981	288.598500679827	3.95718308816981	0.000840339351202881	0.0509079323280692	0.00168581253745818	0	0.662191575792844	0.662191575792844	61.8624671654966	0.562586454473597	373.132445414704	11.1784640253517	274.198846071519	0
2/10/1981	292.641436496677	4.12009260012253	9.97943223906782E-08	0	1.04579420674871E-05	0	1E-07	1E-07	61.8624671654966	0.0178151911471417	372.622445414704	0	277.765996000289	0
2/11/1981	582.416734826732	7.37289693254328	0.00339277643378711	0.72234213484206	0.00178587417408347	0	0.802841734574049	0.802841734574049	61.8624671654966	1.19218592631964	343.020575752633	22.6487980542779	262.335283241981	0
2/12/1981	1364.27858456103	18.0661345585573	0.00556037407537813	1.04731879467045	0.00111593106600303	0	1.07519731422981	1.07519731422981	61.8624671654966	1.81986168896693	291.100800963678	27.7187887165037	250.45026335141	0
2/13/1981	1011.4504964196	14.2404526623882	3.92663203493389E-07	0	1.03793588636667E-05	0	1E-07	1E-07	61.8624671654966	0.0394381129605173	290.590800963678	0	263.025538375199	0
2/14/1981	526.662798687007	7.40292084762756	1.40240437899782E-07	0	1.03793588636667E-05	0	1E-07	1E-07	61.8624671654966	0.00268564495247382	290.080800963678	0	270.426015979106	0
2/15/1981	357.374626916714	5.02940640186375	4.19765313249688E-05	0	0.000142437473751143	0	0.749048323011185	0.749048323011185	61.8624671654966	0.135919695116105	275.989771741336	0	274.987048411565	0
2/16/1981	284.691077201205	4.01097499282097	8.27236974500562E-05	0	0.000199752493941363	0	0.83576537271335	0.83576537271335	61.8624671654966	0.0437856435410994	257.103777876893	0	277.897505027673	0
2/17/1981	315.713102740045	4.34942287906507	0.000682337284249843	0.0707771450317002	0.000908716857245458	0	1.25269062985116	1.25269062985116	61.8624671654966	0.172661311302869	194.660871789713	2.08091386654773	275.428857527204	0
2/18/1981	288.091453221422	4.04759002370348	8.44879218759731E-05	0	0.000503962286376002	0	1.17469808508289	1.17469808508289	61.8624671654966	0.132932365618927	160.231677499773	0	277.215578915831	0
2/19/1981	265.283343776709	3.72743889078091	0.000117538255686051	0	0.000591401393227128	0	1.34886961056753	1.34886961056753	61.8624671654966	0.131740389711506	119.332867925994	0	278.245668958274	0
2/20/1981	1099.83387486257	10.8868882997813	0.00359712765852237	4.50381295382839	0.00327240553536926	0	1.27329771337758	1.27329771337758	61.8624671654966	0.780560073227176	57.1379734472236	30.5933778831634	258.884548839784	0
2/21/1981	2068.36509226899	23.392646202451	0.00777373765317198	5.60423365716424	0.00120262051116698	0	1.11975944725202	1.11975944725202	61.8624671654966	4.0549007267795	5.58484898496175	42.1845850259301	244.070984017998	0
2/22/1981	1488.91570662022	20.9406711921766	0.00023765471309881	0	0.00039766944551956	0	1.12589784857946	1.12589784857946	61.8624671654966	0.250426118652453	0	3.9385254599959	258.075781654442	0
2/23/1981	915.933618545128	12.8983711147622	1.07895072824174E-08	0	0	0	0.908333579515913	0.908146210518978	60.9541335859807	0	0	0	270.881823307583	0
2/24/1981	790.159115951727	10.2202288769337	0.00381558521240647	0.784386908248197	0.0010298399331271	0	0.854824659180017	0.854824659180017	61.8624671654966	0.768140977983099	0	24.3467611821586	260.183161493663	0
2/25/1981	799.290736728352	11.2714500017711	1.73227300646158E-07	0	0	0	1.06006348726357	1.05984482066112	60.802403678233	0	0	0	270.807843780947	0
2/26/1981	364.060719298748	5.0988898584254	0.00015741214978307	0.000438877829244009	0.000313898379384084	0	0.588253868131702	0.588253868131702	61.8624671654966	0.0343163828573577	0	2.87327144953083	274.763357239435	0
2/27/1981	313.307527681063	4.41697985833421	7.1465005439111E-09	0	0	0	1E-07	9.99793733167299E-08	61.8624670654966	0	0	0	279.183531236292	0
2/28/1981	235.153490827559	3.32517336846021	3.24450622740864E-13	0	0	0	0.791495953233608	0.791332683094571	61.0709711161047	0	0	0	282.533901027032	0
3/1/1981	175.861929908291	2.48435358644824	1.64725339435637E-06	0	5.37141582444402E-05	0	0.720217920574892	0.720217920574892	61.2861700775062	0.00328183104123052	0	0.98864465734966	284.984336324354	0
3/2/1981	161.8919156735	2.29068272359151	7.47851884047361E-11	0	0	0	1E-07	9.72345102547591E-08	61.2861699802779	0	0	0	287.286312408344	0
3/3/1981	132.280219145246	1.8679083741791	2.9684424623952E-06	0	0.000111373306042863	0	0.644735598471035	0.644735598471035	61.7302755874518	0.0219064216655871	0	1.19909893027417	289.076168888884	0
3/4/1981	124.464954525091	1.76107368194416	1.34767079296895E-10	0	0	0	1E-07	9.93436687842803E-08	61.7302754880933	0	0	0	290.824944298442	0
3/5/1981	111.187004279301	1.57388233593212	6.11841593436659E-15	0	0	0	1E-07	9.93436683087836E-08	61.7302753887348	0	0	0	292.407082039869	0
3/6/1981	96.3073090692277	1.36291881035026	2.60191124147185E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.7707717870998	0.00166386468958887	14.3097923323072	1.48197923323072	293.768028770591	0
3/7/1981	88.5392356566163	1.25323473121783	2.60202936803169E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8112681839565	0.00128158104194034	13.8786876573903	0.00788953250831012	295.016393435362	0
3/8/1981	81.9391334847178	1.15990929218393	2.60202937339462E-08	0	1.04935675473364E-05	0	1E-07	1E-07	61.8517645808132	0.00263430424268735	13.3686876573903	0	296.172499795184	0
3/9/1981	78.7026048416416	1.11616400155673	1.18131950792141E-12	0	0	0	0.657740668412878	0.657578935723894	61.6104938017673	0	9.20524940033762	0	297.290739193297	0
3/10/1981	71.1732656189093	1.0077158842345	1.93861788606739E-08	0	1.12447506257908E-05	0	0.805873333963643	0.805872462123443	61.7022134588738	0.00258964742118891	0	0	298.281510022887	0
3/11/1981	68.4756149235059	0.974602076409638	8.80131158637821E-13	0	0	0	0.780321837127494	0.774163395077912	60.92794727946	0	0	0	299.257328703355	0
3/12/1981	63.1418394180203	0.893178414606569	2.01878721736928E-06	0	9.19582621798745E-05	0	0.725729362802238	0.725729362802238	61.2932239129925	0.00498404325319484	0	1.18135309702293	300.067755605457	0
3/13/1981	60.8073263279873	0.854488811883182	9.39814131799384E-06	0	0.00019710011376071	0	0.852842782437512	0.852842782437512	61.8624671654966	0.057135746356556	0	1.85398144597348	300.547066763738	0
3/14/1981	61.1595202266934	0.856165161113769	1.41652435627645E-05	0	0.000241307525362926	0	0.980238772110614	0.980238772110614	61.8624671654966	0.0909420700360088	0	2.21881012992307	300.201332827523	0
3/15/1981	60.6763359576377	0.861038199161915	6.43101062818257E-10	0	0	0	0.729263421457529	0.729112996489764	61.133203744039	0	0	0	300.974847781645	0
3/16/1981	57.3247492524863	0.81924173467044	2.91967430820854E-14	0	0	0	1.12407514963579	1.08490649387091	60.0484491543014	0	0	0	301.797362862553	0
3/17/1981	54.6824617582861	0.77704624238469	1.32553008521905E-18	0	0	0	1E-07	9.15142702776551E-08	60.0484490628499	0	0	0	302.577410808915	0
3/18/1981	50.9901410966854	0.722784326371741	2.60191124144408E-08	0	1.04935675473364E-05	0	1E-07	1E-07	60.08933625399	0.00215062486655851	4.91626309107375	0.542626309107375	303.294833180292	0
3/19/1981	48.7899616196192	0.691053943261741	2.60202936803169E-08	0	1.04935675473364E-05	0	1E-07	1E-07	60.13022344513	0.000652741023304075	4.40626309107375	0	303.976657674838	0
3/20/1981	46.7448258696693	0.661898515456642	2.60202937339462E-08	0	1.04935675473364E-05	0	1E-07	1E-07	60.1711106362701	0.00121581285853367	4.03492456798035	0.0138661476906599	304.631242496746	0
3/21/1981	44.8601389838889	0.635142072305919	2.60202937339487E-08	0	1.04935675473364E-05	0	1E-07	1E-07	60.2119978274101	0.00149501968854738	3.52492456798035	0	305.258636637173	0
3/22/1981	43.6598087045329	0.621977983893503	1.18131950792141E-12	0	0	0	0.944792530743871	0.898926852254475	59.6658915652298	0	0	0	305.881204501954	0
3/23/1981	41.698485154496	0.59756697059678	5.36318226867563E-17	0	0	0	0.955672627598087	0.858124256616572	58.8085294328662	0	0	0	306.480736973953	0
3/24/1981	40.0608539266719	0.574964819830923	2.43488098301166E-21	0	0	0	1.15876767080822	0.996715423410088	57.8131711087692	0	0	0	307.057545303744	0
3/25/1981	38.6020383032119	0.554025677455079	1.10543425608692E-25	0	0	0	0.912297581647693	0.745948872871327	57.0686746871659	0	0	0	307.613304164525	0
3/26/1981	37.2463662426897	0.53457144726281	5.01866375833197E-30	0	0	0	1.04464076528702	0.821945784051275	56.2487116613004	0	0	0	308.149508661571	0
3/27/1981	35.9848804998279	0.516448693156424	2.27846982129924E-34	0	0	0	1.18073508223796	1.13623418816809	56.1128798345264	0	0	1	308.667499220155	0
3/28/1981	34.8046038523449	0.49952450015324	1.03442369853032E-38	0	0	0	1.13465521364404	0.849172459849526	55.2662941272714	0	0	0	309.168482293069	0
3/29/1981	33.6993890356648	0.483683144058987	4.6962763257889E-43	0	0	0	1.83905169906015	1.31573262020886	53.9553571007276	0	0	0	309.653547704975	0
3/30/1981	32.6636884757226	0.468823390912798	2.13210615335722E-47	0	0	0	2.46638194733053	1.64352043010779	52.3194740918867	0	0	0	310.123683269982	0
3/31/1981	44.13334870746	0.502465906545665	0.00108131239904421	0.0570031615707806	0.00190281423641681	0	1.37998041702966	1.37998041702966	61.8624671654966	0.668806033428856	0	15.8475123210489	306.42944736479	0
4/1/1981	41.4847448628218	0.576108702577104	4.90915069678522E-08	0	0	0	1.50774816527051	1.50743717141797	60.3547190002261	0	0	0	306.336568937505	0
4/2/1981	200.380500691781	1.10669759861423	0.00146670571114467	1.62117881271511	0.00217668035262147	0	1.55860989699012	1.55860989699012	61.8624671654966	0.439455000780682	0	19.2223678523042	293.389486209436	0
4/3/1981	96.1408738361358	1.33031501300545	6.65883362681022E-08	0	0	0	1.62424724678943	1.62391222444305	60.2382199187071	0	0	0	294.286889105914	0
