Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp85	2030	Tmax	32	1.435292765	1.635004272	1.427298584	1.552422078	1.532560832	1.719737345	1.903825887	1.674382324	1.502749634	1.492255249	1.094129639	1.288863525
CCSM4	rcp85	2030	Tmax	33	1.141616414	1.407202962	1.259210205	1.34550293	1.250622559	1.318087362	1.398490804	1.257831624	1.155643514	1.298956909	1.001469727	1.258791504
CCSM4	rcp85	2030	Tmax	42	1.444505412	1.69414388	1.497328898	1.556451009	1.545680135	1.768008219	2.072695313	1.8784788	1.733054606	1.542236532	1.157177124	1.234488932
CCSM4	rcp85	2030	Tmax	43	1.361437988	1.665892334	1.448048706	1.521468302	1.520785116	1.682167155	1.905813395	1.673930664	1.557322184	1.5246816	1.147590942	1.280815837
CCSM4	rcp85	2030	Tmax	52	1.315464478	1.636765747	1.46795634	1.501508179	1.550379842	1.775624797	2.185565592	2.039232381	1.857341309	1.540484009	1.117639974	1.121442261
CCSM4	rcp85	2030	Tmax	53	1.300657959	1.637725627	1.459446208	1.506069336	1.564059245	1.76923645	2.155084635	1.984107259	1.78895813	1.539292603	1.13327596	1.181809285
CCSM4	rcp85	2030	Tmax	62	1.425355428	1.694901733	1.524699097	1.480969442	1.474114787	1.778243612	2.142194824	2.116595256	1.93553304	1.528544718	1.20004598	1.141052653
CCSM4	rcp85	2030	Tmax	63	1.372984416	1.693711955	1.520090739	1.452490641	1.421522827	1.75586202	2.156765747	2.046326904	1.879681803	1.501041056	1.232072957	1.142407837
