Model	Scenario	Target	Variable	Tile	January	February	March	April	May	June	July	August	September	October	November	December
CCSM4	rcp85	2030	Ppt	32	0.944730611	1.058375819	1.08098438	1.04778361	1.011773812	0.996757121	1.079481638	1.135852131	1.12573238	1.028098618	1.118562423	1.104846746
CCSM4	rcp85	2030	Ppt	33	0.942430488	1.064502698	1.069118562	1.038837922	1.008511253	1.016900397	1.092157164	1.174484358	1.088624093	1.018466549	1.095397965	1.074214826
CCSM4	rcp85	2030	Ppt	42	0.964851479	1.094105913	1.102626062	1.009289715	1.017555654	0.977585971	1.061645487	1.057098528	1.088566677	1.030821245	1.082548873	1.084646092
CCSM4	rcp85	2030	Ppt	43	0.96647783	1.073266585	1.083023501	1.009248991	1.013319578	0.99570711	1.100665319	1.119445551	1.086116677	1.022484429	1.073663306	1.070350939
CCSM4	rcp85	2030	Ppt	52	0.995632597	1.106987016	1.125358064	1.003564515	1.010253758	1.001216059	1.060053753	1.028573799	1.062146619	1.034713777	1.019981697	1.055697404
CCSM4	rcp85	2030	Ppt	53	0.992034934	1.078909445	1.118521887	0.987697474	1.015207185	1.00543052	1.086884129	1.080382849	1.060487142	1.02347069	1.04020323	1.071267854
CCSM4	rcp85	2030	Ppt	62	1.032473551	1.109907243	1.128990798	1.046947941	0.980062378	1.00160707	1.055632802	1.014478653	1.075075181	1.043025719	0.991768297	1.042794295
CCSM4	rcp85	2030	Ppt	63	1.012684113	1.100002337	1.115237757	1.022998462	0.986747769	1.011889513	1.073170005	1.034895518	1.056199806	1.022808103	0.997755068	1.072371486
